Run	Sample	Condition	sample_name
SRR351026	SAMN00737865	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library
SRR351027	SAMN00737865	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library
SRR351028	SAMN00737865	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library
SRR351029	SAMN00737865	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library
SRR359067	SAMN00737865	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library	Caenorhabditis elegans N2 early embryo EE_50-210 RNA library
SRR351010	SAMN00737860	Caenorhabditis elegans N2 early embryo EE_50-240 RNA library	Caenorhabditis elegans N2 early embryo EE_50-240 RNA library
SRR351011	SAMN00737860	Caenorhabditis elegans N2 early embryo EE_50-240 RNA library	Caenorhabditis elegans N2 early embryo EE_50-240 RNA library
SRR351012	SAMN00737860	Caenorhabditis elegans N2 early embryo EE_50-240 RNA library	Caenorhabditis elegans N2 early embryo EE_50-240 RNA library
SRR359069	SAMN00737860	Caenorhabditis elegans N2 early embryo EE_50-240 RNA library	Caenorhabditis elegans N2 early embryo EE_50-240 RNA library
SRR351030	SAMN00737866	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library
SRR351031	SAMN00737866	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library
SRR351032	SAMN00737866	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library
SRR351033	SAMN00737866	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library
SRR359094	SAMN00737866	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library	Caenorhabditis elegans N2 early embryo EE_50-270 RNA library
SRR332923	SAMN00710341	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library
SRR332924	SAMN00710341	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library
SRR350956	SAMN00710341	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library
SRR350957	SAMN00710341	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library
SRR359065	SAMN00710341	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library	Caenorhabditis elegans N2 early embryo EE_50-30 RNA library
SRR352279	SAMN00738677	Caenorhabditis elegans N2 early embryo EE_50-300 RNA library	Caenorhabditis elegans N2 early embryo EE_50-300 RNA library
SRR352280	SAMN00738677	Caenorhabditis elegans N2 early embryo EE_50-300 RNA library	Caenorhabditis elegans N2 early embryo EE_50-300 RNA library
SRR351000	SAMN00737855	Caenorhabditis elegans N2 early embryo EE_50-330 RNA library	Caenorhabditis elegans N2 early embryo EE_50-330 RNA library
SRR351001	SAMN00737855	Caenorhabditis elegans N2 early embryo EE_50-330 RNA library	Caenorhabditis elegans N2 early embryo EE_50-330 RNA library
SRR351002	SAMN00737856	Caenorhabditis elegans N2 early embryo EE_50-360 RNA library	Caenorhabditis elegans N2 early embryo EE_50-360 RNA library
SRR351003	SAMN00737856	Caenorhabditis elegans N2 early embryo EE_50-360 RNA library	Caenorhabditis elegans N2 early embryo EE_50-360 RNA library
SRR351004	SAMN00737857	Caenorhabditis elegans N2 early embryo EE_50-390 RNA library	Caenorhabditis elegans N2 early embryo EE_50-390 RNA library
SRR351005	SAMN00737857	Caenorhabditis elegans N2 early embryo EE_50-390 RNA library	Caenorhabditis elegans N2 early embryo EE_50-390 RNA library
SRR351006	SAMN00737857	Caenorhabditis elegans N2 early embryo EE_50-390 RNA library	Caenorhabditis elegans N2 early embryo EE_50-390 RNA library
SRR478540	SAMN00737857	Caenorhabditis elegans N2 early embryo EE_50-390 RNA library	Caenorhabditis elegans N2 early embryo EE_50-390 RNA library
SRR351007	SAMN00737858	Caenorhabditis elegans N2 early embryo EE_50-420 RNA library	Caenorhabditis elegans N2 early embryo EE_50-420 RNA library
SRR351008	SAMN00737858	Caenorhabditis elegans N2 early embryo EE_50-420 RNA library	Caenorhabditis elegans N2 early embryo EE_50-420 RNA library
SRR351034	SAMN00737867	Caenorhabditis elegans N2 early embryo EE_50-450 RNA library	Caenorhabditis elegans N2 early embryo EE_50-450 RNA library
SRR351035	SAMN00737867	Caenorhabditis elegans N2 early embryo EE_50-450 RNA library	Caenorhabditis elegans N2 early embryo EE_50-450 RNA library
SRR351013	SAMN00737861	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library
SRR351014	SAMN00737861	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library
SRR351015	SAMN00737861	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library
SRR351016	SAMN00737861	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library
SRR359090	SAMN00737861	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library	Caenorhabditis elegans N2 early embryo EE_50-480 RNA library
SRR351036	SAMN00737868	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library
SRR351037	SAMN00737868	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library
SRR351038	SAMN00737868	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library	Caenorhabditis elegans N2 early embryo EE_50-510 RNA library
