Run	Sample	Condition	sex	host_organism	genotype_of_experiment_host	tissue	strain	developmental_stage
SRR25994728	SAMN37187602	In_vitro_1d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994723	SAMN37187602	In_vitro_1d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994725	SAMN37187602	In_vitro_1d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994726	SAMN37187602	In_vitro_1d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25995577	SAMN37187603	In_vitro_2d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995575	SAMN37187603	In_vitro_2d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995579	SAMN37187603	In_vitro_2d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995580	SAMN37187603	In_vitro_2d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995576	SAMN37187603	In_vitro_2d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995578	SAMN37187603	In_vitro_2d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995648	SAMN37187604	In_vitro_2d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995649	SAMN37187604	In_vitro_2d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995650	SAMN37187604	In_vitro_2d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995651	SAMN37187604	In_vitro_2d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995652	SAMN37187604	In_vitro_2d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25995653	SAMN37187604	In_vitro_2d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996151	SAMN37187605	In_vitro_2d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996152	SAMN37187605	In_vitro_2d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996154	SAMN37187605	In_vitro_2d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996153	SAMN37187605	In_vitro_2d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996155	SAMN37187605	In_vitro_2d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996159	SAMN37187606	In_vitro_2d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996161	SAMN37187606	In_vitro_2d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996157	SAMN37187606	In_vitro_2d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996156	SAMN37187606	In_vitro_2d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996158	SAMN37187606	In_vitro_2d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996160	SAMN37187606	In_vitro_2d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996667	SAMN37187607	In_vitro_3d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996665	SAMN37187607	In_vitro_3d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996669	SAMN37187607	In_vitro_3d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996664	SAMN37187607	In_vitro_3d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996666	SAMN37187607	In_vitro_3d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996668	SAMN37187607	In_vitro_3d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996686	SAMN37187608	In_vitro_3d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996689	SAMN37187608	In_vitro_3d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996687	SAMN37187608	In_vitro_3d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996690	SAMN37187608	In_vitro_3d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996691	SAMN37187608	In_vitro_3d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996688	SAMN37187608	In_vitro_3d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25996695	SAMN37187609	In_vitro_3d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996696	SAMN37187609	In_vitro_3d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996692	SAMN37187609	In_vitro_3d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996693	SAMN37187609	In_vitro_3d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996694	SAMN37187609	In_vitro_3d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996697	SAMN37187609	In_vitro_3d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996750	SAMN37187610	In_vitro_3d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996753	SAMN37187610	In_vitro_3d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996755	SAMN37187610	In_vitro_3d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996752	SAMN37187610	In_vitro_3d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996754	SAMN37187610	In_vitro_3d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25996751	SAMN37187610	In_vitro_3d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
