biosample	run_accession	sex	host_organism	genotype_of_experiment_host	genotype_of_passage_host	tissue	treatment	strain	developmental_stage	condition
SAMN37187599	SRR25994683	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_female
SAMN37187599	SRR25994684	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_female
SAMN37187599	SRR25994681	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_female
SAMN37187599	SRR25994682	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_female
SAMN37187599	SRR25994686	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_female
SAMN37187599	SRR25994685	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_female
SAMN37187600	SRR25994732	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_male
SAMN37187600	SRR25994731	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_male
SAMN37187600	SRR25994729	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_male
SAMN37187600	SRR25994730	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_male
SAMN37187600	SRR25994733	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_male
SAMN37187600	SRR25994734	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_1d_from_mouse	MIMR	adult	In_vitro_1d_m_male
SAMN37187601	SRR25994720	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_female
SAMN37187601	SRR25994717	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_female
SAMN37187601	SRR25994721	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_female
SAMN37187601	SRR25994719	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_female
SAMN37187601	SRR25994718	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_female
SAMN37187601	SRR25994722	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_female
SAMN37187602	SRR25994724	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_male
SAMN37187602	SRR25994727	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_male
SAMN37187602	SRR25994728	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_male
SAMN37187602	SRR25994723	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_male
SAMN37187602	SRR25994725	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_male
SAMN37187602	SRR25994726	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_1d_from_rat	MIMR	adult	In_vitro_1d_r_male
SAMN37187603	SRR25995577	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_female
SAMN37187603	SRR25995575	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_female
SAMN37187603	SRR25995579	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_female
SAMN37187603	SRR25995580	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_female
SAMN37187603	SRR25995576	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_female
SAMN37187603	SRR25995578	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_female
SAMN37187604	SRR25995648	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_male
SAMN37187604	SRR25995649	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_male
SAMN37187604	SRR25995650	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_male
SAMN37187604	SRR25995651	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_male
SAMN37187604	SRR25995652	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_male
SAMN37187604	SRR25995653	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_2d_from_mouse	MIMR	adult	In_vitro_2d_m_male
SAMN37187605	SRR25996151	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_female
SAMN37187605	SRR25996152	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_female
SAMN37187605	SRR25996154	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_female
SAMN37187605	SRR25996153	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_female
SAMN37187605	SRR25996155	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_female
SAMN37187606	SRR25996159	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_male
SAMN37187606	SRR25996161	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_male
SAMN37187606	SRR25996157	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_male
SAMN37187606	SRR25996156	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_male
SAMN37187606	SRR25996158	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_male
SAMN37187606	SRR25996160	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_2d_from_rat	MIMR	adult	In_vitro_2d_r_male
SAMN37187607	SRR25996667	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_female
SAMN37187607	SRR25996665	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_female
SAMN37187607	SRR25996669	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_female
SAMN37187607	SRR25996664	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_female
SAMN37187607	SRR25996666	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_female
SAMN37187607	SRR25996668	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_female
SAMN37187608	SRR25996686	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_male
SAMN37187608	SRR25996689	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_male
SAMN37187608	SRR25996687	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_male
SAMN37187608	SRR25996690	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_male
SAMN37187608	SRR25996691	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_male
SAMN37187608	SRR25996688	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_3d_from_mouse	MIMR	adult	In_vitro_3d_m_male
SAMN37187609	SRR25996695	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_female
SAMN37187609	SRR25996696	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_female
SAMN37187609	SRR25996692	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_female
SAMN37187609	SRR25996693	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_female
SAMN37187609	SRR25996694	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_female
SAMN37187609	SRR25996697	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_female
SAMN37187610	SRR25996750	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_male
SAMN37187610	SRR25996753	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_male
SAMN37187610	SRR25996755	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_male
SAMN37187610	SRR25996752	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_male
SAMN37187610	SRR25996754	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_male
SAMN37187610	SRR25996751	male	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_3d_from_rat	MIMR	adult	In_vitro_3d_r_male
SAMN37187611	SRR25996798	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_female
SAMN37187611	SRR25996800	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_female
SAMN37187611	SRR25996799	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_female
SAMN37187611	SRR25996801	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_female
SAMN37187611	SRR25996802	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_female
SAMN37187611	SRR25996803	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_female
SAMN37187612	SRR25996809	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_male
SAMN37187612	SRR25996806	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_male
SAMN37187612	SRR25996807	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_male
SAMN37187612	SRR25996804	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_male
SAMN37187612	SRR25996805	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_male
SAMN37187612	SRR25996808	male	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_5d_from_mouse	MIMR	adult	In_vitro_5d_m_male
SAMN37187613	SRR25997144	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_female
SAMN37187613	SRR25997146	female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal	In_vitro_5d_from_rat	MIMR	adult	In_vitro_5d_r_female
