# Gene expression in TPM for each run in  study ERP000948
	ERR048962	ERR048970	ERR048972	ERR048961	ERR048967	ERR048969	ERR048974	ERR048964	ERR048963	ERR048971	ERR048973	ERR048965
WBGene00224930	39.8	38.42	39.9	24.66	76.18	75.32	95.02	28.1	42.06	43.26	47.64	28.51
WBGene00224931	127.56	143.46	142.81	78.41	98.9	92.86	185.95	14.82	196.03	203.21	211.51	80.11
WBGene00224932	0.27	0.33	0.57	3.46	2.73	2.1	24.87	45.44	8.99	8	8.8	0.84
WBGene00224935	34.92	44.1	49.17	64.52	59.51	56.61	45.99	21.69	51.49	46.64	46.27	53.48
WBGene00224937	37.17	34	33.28	38.56	53.54	52.2	58.33	6.49	47.29	50.41	45.18	34.23
WBGene00224938	117.7	127.06	136.36	49.94	34.29	33.39	209.15	4.81	163.14	170.61	176.66	15.05
WBGene00224939	103.99	117.08	110.26	335.58	28.04	29.36	378.48	136.89	356.81	351.63	367.54	31.04
WBGene00224940	86.56	91.64	98.15	106.9	146.07	140.22	82.18	558.13	64.83	75.47	68.54	94.14
WBGene00224941	108.94	114.19	127.57	69.49	107.74	112.75	81.31	14.95	42.53	46.11	47.67	122.27
WBGene00224942	33.56	33.37	37.87	32.68	30.56	33.04	57.48	10.81	27.27	32.56	30.43	22.29
WBGene00224943	283.3	312.42	328.35	129.14	134.3	127.82	59.79	12.44	58.06	58.71	57.96	195.41
WBGene00224944	397.29	447.05	505.65	39.38	170.36	162.48	73.31	86.44	75.18	90.98	87.03	145.69
WBGene00224945	15.6	16.54	18.35	11.32	31.2	33.61	20.57	77.63	11.38	11.98	11.97	12.85
WBGene00224946	93.49	87.27	87.03	182.59	138.24	146.96	88.89	41.68	99.71	115.16	113.4	175.93
WBGene00224947	49.42	59.67	59.34	28.66	66.92	60.51	89.53	79.93	27.54	30.75	27.8	6.66
WBGene00224948	91.75	108.65	123.23	91.41	58.33	50.32	124.46	9.56	63.12	72.7	69.11	25.38
WBGene00224949	47.99	60.43	63.97	37.17	88.48	82.65	84.45	10.48	43.23	40.57	48.3	39.08
WBGene00224950	0.55	0.68	0.88	0.74	10.69	6.95	8.95	32.78	1.95	0.67	0.6	0.87
WBGene00224951	24.07	22.83	26.53	10.51	82.83	81.18	99.49	22.15	112.61	112.43	107.35	31.04
WBGene00224952	81.71	89.31	104.68	68.55	96.61	99.66	60.57	24.49	41.13	50.74	47.6	134.49
WBGene00224953	117.88	120.27	134.88	76.61	150.23	145.46	91.42	250.33	93.71	95.85	99.67	116.9
WBGene00224955	117.29	115.21	148.92	38.59	132.39	127.99	97.06	47.55	61.81	75.52	67.45	99.53
WBGene00224956	84.29	88.46	93.61	126.38	112.26	109.44	160.53	59.12	102.18	117.79	106	48.25
WBGene00224957	91.81	99.09	118.72	43.23	213.98	202.1	102.69	4.77	44.66	42.97	40.02	34.42
WBGene00224958	287.73	301.77	320.08	172.53	359.01	372.69	132.67	10.97	185.64	192.61	199.59	213.22
WBGene00224959	111.78	139.83	157.84	46.47	160.08	156.64	81.03	16.06	49.06	46.76	50.7	123.59
WBGene00224960	14.78	9.5	10.92	7.81	72.85	65.78	2.66	0	1.24	1.37	1.63	0.59
WBGene00224961	26.14	36.12	36.96	79.99	27.32	42.1	99.36	0	41.95	26.91	39.56	32.33
WBGene00224962	13.53	21.66	20.65	60.84	31.44	30.07	41.19	14.71	22.87	13.4	18.41	14.72
WBGene00224963	68.17	60.79	72.07	27.13	39.14	43.73	40.09	48.89	21.24	22.94	20.48	35.65
WBGene00224964	118.92	142.2	164.97	84.43	127.06	118.36	66.4	267.91	44.38	50.54	53.3	100.33
WBGene00224965	338.53	354.91	386.75	518.38	601.94	618.29	373.19	8.4	415.01	477.72	475.57	664.85
WBGene00224966	11.29	8.61	12.68	42.82	15.64	20.67	39.53	6.47	19.63	21.43	19.85	19.93
WBGene00224967	43.89	47.11	57.56	45.66	64.07	58.01	91.87	0	51	61.53	57.41	34.19
WBGene00224968	49.34	49.72	60.79	42.81	45.47	48.83	14.86	333.36	13.95	12.11	14.02	34.66
WBGene00224969	16.59	13.22	20.87	51.97	74.81	76.87	41.91	95.39	37.82	42.02	40.49	23.63
WBGene00224970	64.99	82.61	88.48	614.09	31.71	20.24	873.94	29.22	708.36	738.2	755.85	44.32
WBGene00224971	72.54	73.59	80.94	29.29	42.42	43.51	41.32	31.8	31.96	30.24	35.34	49.47
WBGene00224972	52.03	44.28	51.06	514.24	68.52	71.79	1328	74.42	809.2	856.81	871.52	57.38
WBGene00224973	10.36	7.39	8.56	7.46	29.6	25.72	89.01	123.94	41.3	47.03	44.04	13.9
WBGene00224974	19.67	30.07	34.44	84.93	2.87	2.21	172.5	0	191.36	200.34	208.5	1.32
WBGene00224975	118.54	131.6	130.09	42.33	166.63	169.44	150.68	13.13	95.03	110.85	117.48	92.39
WBGene00224976	13.22	13.88	11.96	1.75	54	51.44	142.05	177.85	35.9	39.73	34.5	0.18
WBGene00224977	166.98	185.42	180.04	42.4	146.04	157.9	38.16	119.98	47.22	53.48	58.22	68.04
WBGene00224978	0.22	0	0	0.51	1.52	1.37	1.17	21.44	0	0	0	1.05
WBGene00224979	47.17	42.84	42.97	25.02	53.32	52.66	45.11	0	55.59	72	77.56	53.43
WBGene00224980	0.38	1.17	0.54	24.05	8.41	5.32	0.56	132.06	0	0	0.41	2.68
WBGene00224981	0.41	1.27	0.88	1.31	4.92	2.17	4.93	53.44	2.45	2.62	2.23	1.3
WBGene00224982	35.48	35.73	41.08	11.04	22.22	24.81	86.68	5.88	36.39	39.94	38.48	19.61
WBGene00224983	9.17	9.22	12.34	8.77	22.11	18.35	25.58	59.12	7.25	7.25	6.74	2.35
WBGene00224984	0.81	0.71	0.33	1.6	5.33	4.36	2.59	143.16	0.31	0.21	0.25	0.18
WBGene00224985	19.7	23.72	25.88	66.86	62.07	68.95	9.23	0	2.42	3.83	5.17	39.35
WBGene00224986	17.59	19.82	26.03	32.47	37.03	40.17	21.64	47.68	14.89	18.27	19.14	17.71
WBGene00224987	14.46	15.52	16.14	17.89	26.45	20.1	27.99	126.88	4.7	5.87	7.69	11.69
WBGene00224988	31.92	34.58	34.87	26.27	25.51	30.49	17.86	18.68	13.78	12.52	15.09	24.86
WBGene00224989	149.36	142.44	140.99	26.17	61.49	57.73	32.97	262.53	30.13	27.86	28.69	119.31
WBGene00224990	41.3	30.64	40.66	55.22	48.72	49.83	27.74	60.76	25.53	26.44	22.89	58.27
WBGene00224991	418.99	419.67	422.25	89.97	223.44	217.69	98.74	90.02	114.62	112.98	111.33	257.84
WBGene00224992	393.87	424.82	443.06	357.21	314.54	319.63	395.43	0	312.34	326.79	327.47	271.47
WBGene00224993	38.63	39.57	44.91	54.07	68.73	67.26	73.17	161.2	52.32	54.4	50.55	28.52
WBGene00224994	843.62	976.41	1111.37	655.31	802.7	825.08	1450.25	31.76	1609.93	1593.68	1635.37	450.48
WBGene00224995	107.79	109.99	106.72	121.35	132.32	115.01	164.05	47.25	144.02	157.4	166.72	106.18
WBGene00224996	38.21	39.17	41.25	96.42	81.53	94.4	98.98	0	77.11	72.32	84.63	40.31
WBGene00224997	55.16	56.88	61.65	54.48	26.25	21.32	75.23	47.73	43.05	40.32	43.75	28.15
WBGene00224998	17.26	28.52	29.74	335.05	133.24	120.68	470.37	0	194.32	164.05	193.45	100.15
WBGene00224999	13.01	11.88	13.48	1.7	11.58	12.67	13.01	93.31	11.32	10.55	14.48	6.66
WBGene00225000	28.48	34.17	34.94	57.16	11.63	14.54	71.95	0	189.94	203.26	211.76	16.1
WBGene00225001	37.19	40.46	43.41	96.26	76.23	65.54	90.88	6.76	53.06	44.75	62.17	33.01
WBGene00225002	5.98	4.24	5.42	6.2	9.16	6.59	43.03	23.89	15.34	19.92	14.18	12.17
WBGene00225003	36	41.85	50.24	36.79	63.37	56.59	23.93	348.6	44.91	40.28	42.96	39.14
WBGene00225004	5.22	10.62	6.96	25.3	11.51	10.51	37.27	50	23.29	21.12	25.15	28.9
WBGene00225006	15.02	22.34	24.45	39.61	48.73	41.89	66.4	0	21.79	22.47	16.94	19.02
WBGene00225007	37.85	39.52	39.96	53.26	57.43	58.77	44.64	2.96	39.24	42.32	40.17	41.25
WBGene00225008	590.34	620.67	735.74	677.11	490.7	512.67	676.59	2.65	500.2	597.71	570.98	754.83
WBGene00225010	32.95	30.34	28.58	38.62	30.62	31.05	3.62	0	44.12	38.89	35.6	26.43
WBGene00225011	176.3	177.52	189.9	135.93	210.38	219.32	215.01	4.7	163.35	160.33	169.85	104.53
WBGene00225012	33.63	29.55	35.88	28.85	123	135.76	54.13	14.06	37.86	33.55	39.39	39.9
WBGene00225014	199.77	202.99	213.5	227.1	118.77	119.48	185.44	8.99	200.49	206.36	205.28	224.47
WBGene00225015	81.45	83.55	93.56	67.79	70.66	59.95	49.16	48.71	41.39	38.35	41.08	65.18
WBGene00225016	35.52	79.04	74.52	6.89	74.6	65.54	32.54	638.49	9.83	12.45	14.67	20.19
WBGene00225017	169.01	174.07	175.85	203.52	153.95	168.5	944.88	0	973.43	1065.39	1026.22	25.17
WBGene00225018	17.15	13.34	16.03	14.96	9.12	6.09	43.68	18.82	34.11	38.14	35.29	9.67
WBGene00225019	0.35	0.88	1.69	13.35	1.82	1.56	74.55	0	24.01	20.06	23.12	2.8
WBGene00225020	61.2	56.36	54.51	72.69	49.4	43.83	84.57	136.57	38.29	32.9	41.3	33.66
WBGene00225021	77.37	73.96	81.01	115.02	68.25	68.74	67.49	4.71	41.99	40.98	47.42	52.47
WBGene00225022	59.75	66.34	66.1	47.52	110.99	117.05	74.51	0	53.02	62.11	55.89	27.5
WBGene00225023	47.68	51.89	58.04	65.67	53.82	54.02	79.1	19.14	45.43	49.8	48.36	34.99
WBGene00225024	8.55	13.42	15	48.26	22.48	20.09	46	0	40.92	45.83	49.61	18.03
WBGene00225025	28.03	27.32	29.55	17.41	48.07	50.27	91.9	2.12	34.24	49.92	45.51	29.49
WBGene00225026	25.31	32.41	34.85	40.69	74.36	74.71	60.87	100.26	44.01	41.18	41.48	25.85
WBGene00225027	77.05	91.15	87.8	102.87	127.6	134.99	67.76	162.91	57.91	65.62	60.41	74.57
WBGene00225028	37.98	44.96	47.05	144.14	83.96	85.15	111.95	3.14	56.1	47.04	58.77	56.08
WBGene00225029	637.69	884.95	392.41	277.51	655.22	685.69	174.83	107.64	272.94	252.74	283.88	323.86
WBGene00225030	23.83	25.21	26.96	31.69	44.74	46.27	46.61	225.38	32.29	35.96	36.58	27.57
WBGene00225031	28.42	24.77	31.93	15.93	26.44	25.26	46.78	0	12.81	18.49	17.56	33.54
WBGene00225032	38.07	43.77	39.44	35.05	78.42	81.96	80.41	321.71	34.7	38.01	35.66	39.74
WBGene00225033	3.9	2.76	4.4	7.91	66.83	61.31	27.57	868.92	3.7	7.12	6.36	5.28
WBGene00225035	88.1	95.45	92.47	128.35	91.98	93.01	96.03	12.69	78.08	77	69.46	76.77
WBGene00225036	61.4	73.96	48.62	52.14	98.21	106.27	195.98	12.71	154.84	160.74	157.99	75.17
WBGene00225037	47.88	52.17	48.27	10.8	56.47	53.63	0.18	0.98	1.05	0.24	0.14	1.45
WBGene00225038	4.1	3.81	3.19	19.93	12.32	15.82	10.82	0	7.5	6.56	5.58	5.68
WBGene00225039	0.93	2.01	1.11	2.69	7.15	5.72	29.7	29.35	4.62	7.62	4.54	2.93
WBGene00225040	4.88	3.63	4.91	22.81	26.81	23.67	14.95	114.67	7.79	9.82	6.91	7.73
WBGene00225041	102.38	115.85	112.24	92.54	112.65	105.54	57.32	0	34.93	44.48	42.04	51.96
WBGene00225042	0.63	0.78	0.8	4.6	1.07	0.55	3.93	4.67	11.66	11.83	12.04	0
WBGene00225043	3.7	5.21	5.39	4.48	19.6	13.18	7.13	17.53	1.79	2.46	3.47	1.86
WBGene00225044	18.63	18.87	18.22	3.01	41.97	44.4	8.95	91.77	13.79	13.33	13.05	62.3
WBGene00225045	27.79	34.59	30.83	1.39	52.65	40.52	10.89	32.95	4.7	6.46	6.18	3
WBGene00225046	38.73	40.32	51.22	71.21	96.23	86.74	44.36	702.26	33.45	29.19	31.28	38.86
WBGene00225047	20.7	29.56	30.05	79.75	21.66	19.48	160.72	0	101.68	130.79	105.35	11.66
WBGene00225048	11.25	9.5	10.76	266.8	16.22	14.86	1.35	34.28	0.34	1.87	1.11	4.04
WBGene00225049	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00225050	123.35	148.34	123.43	61.21	84.29	89.51	160.25	61.44	196.44	198.3	222.84	139.86
WBGene00225051	92.94	93.92	91.33	61.3	87.87	90.96	53.67	65.29	27.35	34.46	27.97	95.83
WBGene00225052	68.44	76.69	81.44	107.79	105.45	110.71	59.41	5.63	57.43	67.13	62.51	101.92
WBGene00225053	10.09	14.89	16.79	67.17	45.75	42.77	28.27	290.09	23	20.2	24.84	11.79
WBGene00225054	0.49	0.3	0.47	0.28	0.84	0.22	9.52	0	0.97	0.45	0.27	0
WBGene00225057	5.41	4.44	5.47	19.24	22.24	19.89	31.25	255.73	7.71	11.01	9.29	7.36
WBGene00225058	112.11	136.16	127.23	343.77	1.9	6.36	302.76	0	529.08	583.23	603.87	19.32
WBGene00225059	0	0.57	0	2.39	3.92	4.43	8.28	10.22	0	0	0.99	0.72
WBGene00225060	42.38	45.28	44.75	75.92	105.64	106.73	85.48	0	60.45	56.12	53.01	61.35
WBGene00225061	21.15	21.76	24.45	40.62	60.23	54.15	34.91	481.74	27.32	20.78	23.66	33.46
WBGene00225062	52.69	62.07	63.22	63.41	42.51	43.11	43.4	46.41	66.97	69.48	70.93	14.37
WBGene00225063	5.54	6.42	6.84	2.59	7.04	8.5	14.45	23.95	4.99	4.89	5.05	5.37
WBGene00225064	63.6	46.85	61.48	98.46	83.75	72.16	190.4	1.87	92.22	94.27	88	63
WBGene00225065	54.84	60.06	47.17	71.52	70.42	78.24	42.28	1.1	63.85	69.35	68.54	55.82
WBGene00225066	101.57	114.9	132.07	68.42	165.4	167.4	171.11	3.59	80.56	89.58	95.13	229.12
WBGene00225067	11.59	17.12	17.4	39.21	39.13	38	42.27	19.35	59.67	72.36	71.33	7.34
WBGene00225068	21.65	23.35	20.53	36.27	52.95	52.29	30.71	391.39	30.38	25.64	20.5	12.05
WBGene00225069	33.83	34.69	42.25	115.47	62.03	71.62	177.89	0	81.69	102.34	99.01	50.46
WBGene00225070	223.05	256.55	229.28	67.35	52.81	60.46	43.97	7.23	30.3	26.14	32.71	51.02
WBGene00225071	9.79	10.59	13.82	13.29	30.82	26.09	18.86	208.67	6.92	7.47	6.2	23.13
WBGene00225072	132.58	114.41	139.45	221.5	123.87	128.54	184.71	18.74	152.86	141.17	161.84	201.25
WBGene00225074	148.82	150.42	162.03	9.22	123.04	121.85	105.58	0	39.06	36.78	38.49	19.26
WBGene00225075	61.88	69.84	77.18	74.56	103.26	97.71	57.62	41.11	44.11	45.88	39.93	71.73
WBGene00225076	90.71	94.42	114.24	37.43	115.41	112.56	82.04	205.66	55.65	53.79	56.79	69
WBGene00225077	168.68	212.71	248.01	114.02	84.81	82.93	114.03	20.8	50.37	68.51	61.18	90.23
WBGene00225078	166.15	173.78	156.25	101.52	390.87	391.57	162.22	492.47	117.33	134.02	131.41	229.13
WBGene00225080	28.56	32.32	31.27	10.89	26.84	26.32	53.92	24.3	24.1	26.46	23.7	103.59
WBGene00225081	120.88	121.4	140.11	55.46	95.57	90.29	48.72	22.87	35.78	37.11	35.96	51.55
WBGene00225082	22.05	28.87	33.32	2.01	98.48	90.68	0.16	420.64	0	0.25	0.15	2.63
WBGene00225083	32.34	40.4	34.15	27.44	59.14	70.89	42.47	0	32.34	35.66	36.06	31.3
WBGene00225084	1.01	0	0.97	4.11	10.41	7.13	145.01	45.24	1.35	9.25	4.4	19.21
WBGene00225085	141	158.21	140.03	106.51	68.03	78.04	24.42	80.98	39.01	27.8	33.99	66.63
WBGene00225086	50.36	60.12	55.51	88.89	38.78	37.8	171.32	10.93	85.31	91.58	88.3	43.32
WBGene00225087	27.82	27.18	32.01	24.2	31.66	30.41	41.71	213.32	25.61	25.42	32.02	19.47
WBGene00225088	54.1	54.85	67.26	64.22	118.87	123.19	52.84	81.08	50.33	45.21	45.89	64.14
WBGene00225089	23.79	29.3	32.14	22.72	68.64	73.61	37.22	16.68	24.56	26.6	26.8	21.92
WBGene00225090	10.21	11.22	12.63	5.59	22.14	27.33	23.81	1.44	7.68	4.93	9.22	16.46
WBGene00225091	1.94	0	0.31	5.07	0	0	2.82	7.24	0	0	0	1.03
WBGene00225092	133.6	131.56	150.46	73.04	148.21	140.76	256.33	45.15	143.71	156.17	147.09	319.36
WBGene00225093	69.51	56.79	67.83	14.12	81.22	87.03	10.01	69.32	57.79	54.4	52.63	11.77
WBGene00225094	16.72	17.37	20.54	3.72	32.16	21.58	10.34	182.54	3.59	2.16	4.78	0.8
WBGene00225095	41.15	42.72	60.68	108.68	89.33	96.53	72.34	42.82	61.61	51.15	61.91	68.63
WBGene00225096	70.72	83.52	82.8	62.31	87.72	83.78	91.58	54.44	74.47	91.86	85.32	87.85
WBGene00225097	80.06	77.66	85.05	131.45	83.94	83.6	325.67	3.2	414.64	438.15	436	43.13
WBGene00225098	1.63	4.03	1.95	37.71	1.39	1.07	42.87	0	12.43	14.11	13.27	0
WBGene00225100	385.13	372.28	396.12	72.29	247.34	250.45	7.89	6.5	10.91	12.44	12.73	18.23
WBGene00225101	141.86	150.85	159.14	96.42	153.58	152.84	125.79	12.43	142.19	139.82	150.38	126.34
WBGene00225102	0.26	0.33	0	21.93	0.91	0.7	0.24	0	0.35	0	0.86	0
WBGene00225103	32.73	37.94	41.8	51.68	75.59	74.1	36.3	32.6	25.85	22.5	28.38	55.12
WBGene00225104	52.72	38.13	40.5	44.29	62.07	59.51	43.32	0	20.84	16.14	20.77	34.94
WBGene00225105	54.21	56.11	60.92	89.72	86.6	88.22	59.28	178.42	43.05	47.38	42.11	53.2
WBGene00225106	0.77	2.24	1.85	107.89	4.43	5	11.65	17.3	6.86	4.72	5.9	3.67
WBGene00225107	4.47	8.31	6.21	46.18	34.53	37.84	39.49	0	14.27	15.53	18.98	11.33
WBGene00225108	29.85	31.64	36.98	145.41	71.11	64	125.63	12.36	63.94	75.16	80.83	38.31
WBGene00225109	13.01	16.12	16.11	19.78	41.56	37.56	63.69	6.69	10.14	5.74	8.3	119.27
WBGene00225110	125.09	135.62	146.68	165.05	92.53	79.92	296.92	97.59	159.56	172.53	175.02	66.8
WBGene00225111	22.53	30.76	22.75	36.65	42.58	38.19	41.51	126.64	22.09	29.66	24.93	30.82
WBGene00225112	99.16	99.01	106.22	126.4	97.19	91.54	54.05	0	42.5	37.84	48.22	98.85
WBGene00225113	25.61	10.58	20.11	36.94	36.04	32.98	23.34	0	20.95	18	19.29	21.82
WBGene00225114	2.84	1.56	1.06	46.47	1.62	0	138.24	23.51	54.53	57.08	56.29	2
WBGene00225115	34.85	38.96	37.2	55.98	28.47	32.36	258.08	23.76	118.39	124.77	134.21	10.09
WBGene00225116	166.83	176.05	170.95	146.64	175.43	176.44	113.41	42.56	136.44	147.38	139.9	67.36
WBGene00225117	5.02	6.22	6.5	4.96	13.16	13.78	48.86	8.8	7.06	6.47	6.74	8.41
WBGene00225119	74.45	75.18	90.78	6.09	168.77	170.72	3.41	57.03	0.73	1.4	1.55	0.86
WBGene00225120	30.01	38.8	29.56	235.84	133.53	131.84	454.66	3.24	257.32	227.32	221.46	55.05
WBGene00225121	124.57	134.64	133.57	81.77	177.6	167.89	64.54	199.75	48.74	52.83	59.62	114.35
WBGene00225122	66.86	84.12	86.19	64.32	56	53.2	60.13	34.76	37.9	45.46	43.42	68.88
WBGene00225123	29.42	29.9	34.64	48.12	15.65	19.97	22.54	41.66	18	22.59	18.89	18.16
WBGene00225125	8.79	7.78	12.01	66.61	135.64	128.86	129.66	4.68	45.89	44.73	46.43	23.83
WBGene00225126	1269.49	1690.09	1266.86	248.25	1048.05	1058.63	517.25	5.32	180.21	222.29	224.32	1686.43
WBGene00225127	115.93	152.13	146.67	67.04	102.78	108.48	64.84	133.84	45.59	54.61	47.79	126.85
WBGene00225128	44.01	43.16	51.93	90.22	55.3	57.65	75.82	166.62	47.56	39.57	40.46	41.71
WBGene00225129	25.34	22.74	24.54	29.97	42.09	38.86	25.94	124.9	16.98	19.69	21.06	28.1
WBGene00225130	199.65	211.21	196.42	122.4	167.32	149.46	81.47	245.14	103.75	110.61	109.39	211.58
WBGene00225131	260.92	294.53	267.87	146.21	224.88	211.86	79.54	128.53	123.28	136.98	133.76	218.12
WBGene00225132	120.05	132.4	138.42	128.13	95.08	102.85	65.4	210.4	57.22	60.83	62.94	70.64
WBGene00225133	0	0	0	4.21	0	0.64	4.08	0	0.48	0.66	0	2.3
WBGene00225134	0.6	0.74	1.14	0.69	2.05	2.63	0.55	0	0	0	0	0
WBGene00225135	15.14	12.25	15.38	18.27	16.43	14.97	46.75	80.57	18.07	18.07	18.49	10.26
WBGene00225136	0	0	0.49	1.78	3.51	3.6	2.11	0	0	0	1.11	0
WBGene00225137	37.23	46.02	53.02	29.84	47.26	46.41	59.1	1.21	79.75	85.41	82.69	11.7
WBGene00225138	0.41	1.02	1.76	12.6	5.62	3.61	21.05	6.11	2.18	1.5	0.89	0
WBGene00225139	4.84	8.3	6.77	60.68	24.27	27.56	115.34	11.1	46.53	44.91	39.7	3.53
WBGene00225140	0	1.1	1.42	1.89	4.58	3.4	11.51	95.14	0.39	0	0.65	0.94
WBGene00225141	249.36	228.97	231.99	191.41	156.08	155.28	74.35	53.47	72.82	78.03	75.21	325.34
WBGene00225143	1.46	1.51	0.93	36.88	0	0	8.99	18.16	2.27	0.45	1.06	3.86
WBGene00225144	1.75	1.08	0.98	2.37	1.5	1.29	9.5	15.21	1.16	0.53	0.95	0
WBGene00225145	262.44	279.43	322.44	111.12	114.72	104.26	64.8	42.12	52.35	54.75	48.38	136.23
WBGene00225146	6.08	5.86	7.44	24.31	24.35	11.32	35.5	267.03	12.58	2.47	10.3	7.49
WBGene00225147	15.31	14.31	16.1	10.15	18.23	17.52	14.14	73.76	5.73	8.54	8.87	14.21
WBGene00225148	95.58	104.12	109.21	50.12	47.13	37.9	22.46	50.45	26.47	19.65	19.5	63.01
WBGene00225149	3.95	4.8	4.46	3.16	6.65	4.73	1.06	38.34	0	0.27	0.16	4.6
WBGene00225150	54.31	42.17	45.83	66.58	56.26	53.3	104.73	0	54.39	52.85	59.29	52.74
WBGene00225151	45.4	41.89	42.9	36.19	42.74	44.26	43.19	63.34	33.39	28.24	26.9	52.27
WBGene00225152	18.3	18.76	19.03	24.41	34.82	34.6	35.29	146.3	13.94	17.33	17.56	17.9
WBGene00225153	97.38	89.11	95.13	88.08	50.57	57.47	86.14	0	46.92	55.51	43.25	45.23
WBGene00225155	242.56	245.87	267.79	42.32	121.56	127.88	172.55	1.2	160.82	157.48	159.47	288.24
WBGene00225156	90.61	97.14	104.27	58.5	92.16	89.75	79.25	70.98	66.24	70.53	79.72	62.22
WBGene00225158	96.51	90.71	100.89	63.27	167.43	158.41	85.86	75.71	50.5	52.87	55.63	66.05
WBGene00225160	45.6	38.79	41.66	4.83	162.33	156.27	1.58	156.42	2.41	0.99	1.97	0.86
WBGene00225161	0	0	0	0.58	0	0	0	0	0	0	0	0
WBGene00225162	26.98	23.94	26.31	80.57	129.14	132.1	91.21	280.52	54.03	50.53	52.19	40.59
WBGene00225163	17.42	16.77	19.85	19.86	55.07	53.59	37.49	161.67	28.92	30.04	27.9	16.3
WBGene00225164	51.61	54.86	60.7	21.49	71.78	74.53	52.62	43.53	33.55	35.24	37.55	55.37
WBGene00225165	44.49	47.41	37.76	4.99	175	170.14	1.63	4.42	1.18	1.63	2.26	5.16
WBGene00225166	6.98	9.37	10.58	9.78	8.48	3.33	15.74	106.19	9.28	10.1	10.76	2.76
WBGene00225167	9.25	7	9.34	27.41	21.15	23.54	57.61	0	6.83	7.51	12.86	14.63
WBGene00225168	367.78	426.01	473.46	132.5	179.77	210.62	175.77	0	129.15	130.22	133.15	199.71
WBGene00225169	25.34	32.08	27.55	139.78	195.6	180.34	116.72	227.85	84.96	109.74	113.88	166.06
WBGene00225170	4.7	7.35	6.63	9.32	11.88	9.81	15.54	5.53	6.9	4.07	4.04	13.3
WBGene00225171	1846.26	1729.65	1688.92	2863.95	1108.19	1147.21	1175.93	121.89	2492.03	2518.43	2603.29	8760.69
WBGene00225172	108.38	91.02	112.44	29.95	48.66	35.89	3	32.52	0	0	3.96	3.45
WBGene00225173	161.09	171.36	142.53	83.33	59.71	64.7	81.93	0	1685.58	1696.94	1680.34	194.29
WBGene00225174	5.47	4.93	5	1.54	8.53	8.48	2.66	54.37	20.94	21.82	21.83	1.05
WBGene00225175	54.12	52.66	56.32	33.95	79.08	70.66	49	291.3	35.18	33.34	37.08	83.1
WBGene00225176	38.77	43.37	42.98	198.96	42.94	38.98	6.55	13.58	16.16	16.43	15.21	10.77
WBGene00225177	118.64	87.14	85.59	181.77	182.67	167.18	208.53	22.62	124.44	121.12	141.74	173.31
WBGene00225178	427	444.97	423.12	125.42	151.78	155.23	107.32	74.72	111.78	107.25	113.8	248.89
WBGene00225179	5.42	4.35	7.63	33.47	18.05	14.61	54.76	57.03	8.48	11.07	4.51	8.07
WBGene00225180	12.19	7.55	14.2	52.09	37.64	31.87	83.31	3.03	34.04	33.42	23.44	14.15
WBGene00225182	24.2	28.52	38.7	39.25	29.02	23.58	66.09	0	24.59	30.56	28.9	25.53
WBGene00225183	66.21	67.78	74.86	291.63	190.93	180.96	446.91	7.15	280.69	315.68	291.31	60.74
WBGene00225184	91.42	82.6	99.91	56.4	55.87	55.35	7.09	0	9.78	11.1	10.29	10.53
WBGene00225185	21.85	16.66	24.4	26.97	17.3	17.28	172.53	0	41.71	51.19	41.45	15.96
WBGene00225186	49.84	55.39	68.85	84.81	86.4	89.7	48.77	85.49	33.84	38.56	35.29	71.15
WBGene00225187	150.92	154.8	151.78	110.1	130.11	137.76	122.72	156.31	92.26	98.13	104.78	135.05
WBGene00225188	0	0	0	167.24	1.96	5.02	0	50.96	0	2.08	0	0
WBGene00225189	108.21	81.98	94.52	4.66	176.98	173.29	19.17	122.33	62.13	78.06	65.97	34.99
WBGene00225190	0.52	0	0.13	10.16	0.45	0.46	0.66	9.74	0.7	0.48	0.57	0
WBGene00225191	0.39	0	0.28	0.45	0	0.52	6.23	2.92	1.56	1.43	2.34	0
WBGene00225192	185.8	206.58	223.88	56.3	255.35	262.7	87.83	182.82	62.85	70.22	70.53	147.29
WBGene00225193	164.35	152.58	166.18	142.69	116.27	118.61	176.91	50.88	128.71	119.43	129.73	152.02
WBGene00225194	108.99	111.92	112.73	126.34	134.99	127.5	125.08	84.64	58.25	57.83	62.82	134.79
WBGene00225195	279.16	289.15	280.83	147.08	65.33	69.25	51.3	740.16	71.8	71.37	66.62	100.7
WBGene00225196	2.1	1.82	1.81	12.32	0.72	1.85	23.49	4.7	6.71	10.77	8.7	0.67
WBGene00225197	0	0	0.62	54.34	1.79	0.92	12.65	40.73	4.5	4.76	5.1	0.41
WBGene00225198	4.47	2.21	2.99	7.77	13.02	20.86	5.43	6.66	3.56	4.9	3.4	19.08
WBGene00225199	0	0	0	1.23	6.22	2.66	1.25	103.63	0.8	2.21	0.99	0
WBGene00225200	107.54	92.83	114.32	116.3	332.61	303.7	132.69	52.55	83.21	89.4	84.87	78.1
WBGene00225201	108.68	120.9	155.09	94.32	95.25	106.6	205.46	2.96	129.73	127.58	136.81	47.07
WBGene00225202	177.74	158.34	163.6	127.07	181	175.92	796.86	62.74	569.4	590.51	601.95	37.3
WBGene00225203	0	0	0	0	0	0	1.57	0	0	0	0	0
