# Differential expression analysis for study ERP0009481 contrast  across:sex. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !Adult female vs Adult male: Adult male - low replicates (1)
	!Adult female vs Adult male
WBGene00222948	-3.14
WBGene00222949	0.75
WBGene00222950	-0.72
WBGene00222952	-2.15
WBGene00222953	-3.36
WBGene00222954	0.54
WBGene00222957	1.53
WBGene00222958	0.95
WBGene00222961	-3.40
WBGene00222963	2.24
WBGene00222965	0.98
WBGene00222967	-1.58
WBGene00222968	-1.57
WBGene00222969	0.56
WBGene00222971	-2.10
WBGene00222972	0.98
WBGene00222973	0.63
WBGene00222974	-0.45
WBGene00222975	3.19
WBGene00222976	1.19
WBGene00222977	1.00
WBGene00222978	1.66
WBGene00222979	-6.95
WBGene00222980	1.86
WBGene00222982	-0.46
WBGene00222983	-1.31
WBGene00222986	-8.21
WBGene00222987	1.75
WBGene00222989	-0.71
WBGene00222990	0.92
WBGene00222991	-0.71
WBGene00222993	0.62
WBGene00222994	-1.13
WBGene00222999	-2.43
WBGene00223000	1.69
WBGene00223003	-1.42
WBGene00223005	-9.72
WBGene00223008	-2.14
WBGene00223009	0.63
WBGene00223010	-3.89
WBGene00223012	0.70
WBGene00223013	3.49
WBGene00223014	0.97
WBGene00223017	-5.64
WBGene00223018	2.36
WBGene00223023	-0.53
WBGene00223024	-0.81
WBGene00223025	1.64
WBGene00223026	1.65
WBGene00223027	-2.20
WBGene00223029	1.04
WBGene00223030	2.72
WBGene00223031	3.26
WBGene00223032	0.88
WBGene00223033	1.50
WBGene00223034	0.77
WBGene00223037	1.15
WBGene00223038	0.72
WBGene00223039	0.68
WBGene00223041	-2.45
WBGene00223042	2.73
WBGene00223044	-3.86
WBGene00223046	-9.48
WBGene00223047	2.16
WBGene00223048	3.91
WBGene00223049	1.76
WBGene00223050	0.60
WBGene00223052	-0.95
WBGene00223055	2.34
WBGene00223056	1.59
WBGene00223058	-5.07
WBGene00223060	-1.30
WBGene00223061	1.04
WBGene00223062	1.18
WBGene00223063	-3.37
WBGene00223066	-3.83
WBGene00223067	-0.70
WBGene00223068	-2.16
WBGene00223070	0.67
WBGene00223071	1.17
WBGene00223072	-0.71
WBGene00223073	-2.06
WBGene00223075	-0.96
WBGene00223076	1.45
WBGene00223078	-0.76
WBGene00223079	1.16
WBGene00223080	-1.55
WBGene00223083	1.96
WBGene00223085	1.39
WBGene00223086	0.60
WBGene00223088	1.91
WBGene00223090	-2.05
WBGene00223091	0.56
WBGene00223092	1.19
WBGene00223094	0.62
WBGene00223095	2.30
WBGene00223096	3.58
WBGene00223097	3.18
WBGene00223098	-1.41
WBGene00223102	-11.40
WBGene00223104	-2.36
WBGene00223105	-3.09
WBGene00223106	-3.10
WBGene00223108	-0.95
WBGene00223109	-1.59
WBGene00223110	1.66
WBGene00223111	0.74
WBGene00223113	0.93
WBGene00223114	-1.24
WBGene00223115	-1.59
WBGene00223118	-1.77
WBGene00223121	-0.93
WBGene00223122	-0.45
WBGene00223123	1.92
WBGene00223124	-1.99
WBGene00223125	-0.82
WBGene00223126	-0.79
WBGene00223128	0.89
WBGene00223132	-0.55
WBGene00223135	-1.11
WBGene00223138	-3.19
WBGene00223144	-5.63
WBGene00223146	-0.44
WBGene00223147	1.26
WBGene00223148	2.90
WBGene00223149	-2.11
WBGene00223150	-1.67
WBGene00223152	0.99
WBGene00223155	-0.91
WBGene00223156	1.33
WBGene00223157	-1.47
WBGene00223159	1.08
WBGene00223160	0.87
WBGene00223161	-0.35
WBGene00223162	-1.08
WBGene00223163	0.55
WBGene00223164	2.56
WBGene00223165	-0.81
WBGene00223166	-2.23
WBGene00223171	1.42
WBGene00223173	0.61
WBGene00223174	0.46
WBGene00223175	1.20
WBGene00223177	-0.84
WBGene00223178	-1.54
WBGene00223179	-1.87
WBGene00223180	-3.29
WBGene00223182	-2.28
WBGene00223184	-6.82
WBGene00223186	-2.19
WBGene00223187	0.63
WBGene00223188	3.23
WBGene00223189	1.63
WBGene00223196	-1.91
WBGene00223197	1.95
WBGene00223198	-1.89
WBGene00223199	1.35
WBGene00223203	1.53
WBGene00223204	1.32
WBGene00223206	-1.04
WBGene00223207	-0.70
WBGene00223208	1.03
WBGene00223209	0.46
WBGene00223211	-1.92
WBGene00223212	-1.08
WBGene00223214	-0.42
WBGene00223215	-1.03
WBGene00223217	0.76
WBGene00223218	-5.72
WBGene00223219	-1.97
WBGene00223220	1.11
WBGene00223221	0.70
WBGene00223222	1.58
WBGene00223224	6.83
WBGene00223225	-1.66
WBGene00223230	-2.89
WBGene00223231	-1.03
WBGene00223232	1.26
WBGene00223237	-1.09
WBGene00223240	0.77
WBGene00223242	4.56
WBGene00223248	-2.01
WBGene00223250	3.02
WBGene00223251	-3.15
WBGene00223252	-1.31
WBGene00223255	-1.34
WBGene00223258	-1.02
WBGene00223259	0.93
WBGene00223261	1.47
WBGene00223262	2.14
WBGene00223263	-1.03
WBGene00223267	-1.01
WBGene00223268	2.12
WBGene00223269	1.35
WBGene00223273	5.47
WBGene00223274	-4.69
WBGene00223277	2.03
WBGene00223278	-0.83
WBGene00223279	3.98
WBGene00223280	2.21
WBGene00223281	-2.09
WBGene00223285	2.14
WBGene00223286	-3.39
WBGene00223287	-0.46
WBGene00223289	-2.62
WBGene00223290	-1.21
WBGene00223291	-2.61
WBGene00223292	-0.81
WBGene00223293	-1.49
WBGene00223295	-1.80
WBGene00223296	-1.21
WBGene00223297	3.17
WBGene00223300	1.10
WBGene00223301	3.73
WBGene00223302	2.34
WBGene00223305	-1.38
WBGene00223306	0.82
WBGene00223307	1.67
WBGene00223308	0.68
WBGene00223309	-1.73
WBGene00223312	-0.86
WBGene00223315	-1.18
WBGene00223318	1.24
WBGene00223319	1.40
WBGene00223320	-4.72
WBGene00223321	0.64
WBGene00223323	-1.53
WBGene00223324	-1.85
WBGene00223325	1.01
WBGene00223326	-2.60
WBGene00223329	0.67
WBGene00223331	2.98
WBGene00223333	1.07
WBGene00223334	0.77
WBGene00223335	3.01
WBGene00223337	0.93
WBGene00223339	0.99
WBGene00223341	1.85
WBGene00223342	-0.90
WBGene00223349	0.95
WBGene00223350	-2.35
WBGene00223351	2.06
WBGene00223352	3.47
WBGene00223353	-1.58
WBGene00223354	2.40
WBGene00223356	-0.85
WBGene00223357	-2.03
WBGene00223361	0.99
WBGene00223362	-3.15
WBGene00223363	1.18
WBGene00223364	0.39
WBGene00223365	-0.74
WBGene00223372	-0.70
WBGene00223375	2.56
WBGene00223377	-1.37
WBGene00223379	0.54
WBGene00223380	-4.40
WBGene00223381	-2.61
WBGene00223384	-3.46
WBGene00223385	-1.90
WBGene00223388	2.58
WBGene00223390	-1.67
WBGene00223391	-0.85
WBGene00223395	-2.09
WBGene00223399	2.85
WBGene00223400	1.03
WBGene00223402	-7.93
WBGene00223403	-1.99
WBGene00223404	-0.86
WBGene00223405	-0.81
WBGene00223406	-1.13
WBGene00223407	-1.93
WBGene00223409	2.10
WBGene00223411	1.89
WBGene00223412	0.39
WBGene00223413	2.19
WBGene00223414	0.36
WBGene00223415	-1.04
WBGene00223416	-0.98
WBGene00223417	-8.15
WBGene00223418	-0.69
WBGene00223422	1.63
WBGene00223423	-2.22
WBGene00223424	-1.15
WBGene00223427	3.27
WBGene00223428	0.77
WBGene00223429	-0.68
WBGene00223430	2.84
WBGene00223431	3.33
WBGene00223432	-5.58
WBGene00223433	-0.96
WBGene00223434	-3.83
WBGene00223437	-2.12
WBGene00223439	-0.72
WBGene00223441	-0.95
WBGene00223444	1.23
WBGene00223447	-2.41
WBGene00223451	0.69
WBGene00223452	1.50
WBGene00223453	-0.63
WBGene00223456	1.00
WBGene00223458	-0.96
WBGene00223460	2.21
WBGene00223461	2.64
WBGene00223462	-0.45
WBGene00223465	-2.02
WBGene00223467	-2.45
WBGene00223468	0.77
WBGene00223470	4.54
WBGene00223473	-1.76
WBGene00223474	1.50
WBGene00223475	0.85
WBGene00223476	2.93
WBGene00223477	-2.44
WBGene00223480	-5.23
WBGene00223482	-0.97
WBGene00223485	-0.85
WBGene00223487	-2.94
WBGene00223489	0.66
WBGene00223490	-4.17
WBGene00223491	1.51
WBGene00223492	-1.31
WBGene00223493	1.13
WBGene00223494	0.97
WBGene00223495	-2.60
WBGene00223496	-3.09
WBGene00223498	0.74
WBGene00223499	-2.50
WBGene00223502	1.49
WBGene00223503	1.16
WBGene00223505	1.19
WBGene00223506	2.74
WBGene00223515	-3.32
WBGene00223516	-0.46
WBGene00223517	-1.46
WBGene00223518	1.66
WBGene00223519	1.08
WBGene00223520	-0.98
WBGene00223524	-8.87
WBGene00223526	1.61
WBGene00223529	-0.60
WBGene00223531	2.56
WBGene00223532	-1.00
WBGene00223534	1.76
WBGene00223535	-0.81
WBGene00223536	0.73
WBGene00223537	1.46
WBGene00223539	0.95
WBGene00223540	0.90
WBGene00223541	4.44
WBGene00223543	0.46
WBGene00223544	-1.45
WBGene00223545	1.44
WBGene00223548	-2.30
WBGene00223549	-3.51
WBGene00223550	-0.60
WBGene00223552	-0.93
WBGene00223554	0.81
WBGene00223555	0.84
WBGene00223556	2.18
WBGene00223557	-1.99
WBGene00223558	1.43
WBGene00223560	0.65
WBGene00223561	-1.40
WBGene00223562	0.46
WBGene00223564	5.95
WBGene00223565	4.72
WBGene00223566	-4.61
WBGene00223568	-1.64
WBGene00223570	1.91
WBGene00223571	2.30
WBGene00223572	1.02
WBGene00223574	-2.76
WBGene00223575	1.44
WBGene00223576	-0.79
WBGene00223578	2.65
WBGene00223581	4.43
WBGene00223582	0.98
WBGene00223583	0.85
WBGene00223584	0.33
WBGene00223585	1.57
WBGene00223586	-1.86
WBGene00223589	-2.82
WBGene00223591	2.13
WBGene00223592	-0.80
WBGene00223593	-0.35
WBGene00223594	-1.50
WBGene00223595	0.92
WBGene00223596	-1.36
WBGene00223597	2.96
WBGene00223598	0.56
WBGene00223600	-1.80
WBGene00223601	0.56
WBGene00223602	2.14
WBGene00223604	2.59
WBGene00223605	-1.94
WBGene00223606	-0.53
WBGene00223608	1.42
WBGene00223609	1.82
WBGene00223610	-1.07
WBGene00223612	-1.19
WBGene00223614	-3.27
WBGene00223615	-0.51
WBGene00223619	2.19
WBGene00223620	2.00
WBGene00223621	1.39
WBGene00223622	-0.49
WBGene00223623	-1.78
WBGene00223624	-10.55
WBGene00223626	-1.98
WBGene00223627	-0.56
WBGene00223628	1.48
WBGene00223629	0.63
WBGene00223630	5.11
WBGene00223631	2.05
WBGene00223632	-1.78
WBGene00223634	1.06
WBGene00223635	-1.79
WBGene00223638	-4.00
WBGene00223641	1.96
WBGene00223642	-2.35
WBGene00223644	0.89
WBGene00223645	3.63
WBGene00223646	-0.67
WBGene00223649	1.63
WBGene00223651	1.30
WBGene00223656	-3.31
WBGene00223657	-3.60
WBGene00223658	1.70
WBGene00223659	-1.24
WBGene00223661	-8.56
WBGene00223662	0.54
WBGene00223663	-1.08
WBGene00223664	-1.07
WBGene00223665	-1.53
WBGene00223666	1.55
WBGene00223670	3.80
WBGene00223673	1.02
WBGene00223674	4.82
WBGene00223677	1.86
WBGene00223680	0.99
WBGene00223681	1.26
WBGene00223682	1.19
WBGene00223683	0.66
WBGene00223684	2.18
WBGene00223686	-2.80
WBGene00223687	0.75
WBGene00223691	-3.15
WBGene00223692	0.35
WBGene00223693	0.67
WBGene00223694	0.50
WBGene00223695	1.35
WBGene00223696	-1.16
WBGene00223698	0.68
WBGene00223700	-3.81
WBGene00223703	-3.20
WBGene00223706	1.78
WBGene00223707	1.90
WBGene00223709	-3.07
WBGene00223710	-0.88
WBGene00223711	1.70
WBGene00223712	1.03
WBGene00223713	1.37
WBGene00223714	1.25
WBGene00223715	0.84
WBGene00223716	1.70
WBGene00223718	2.83
WBGene00223719	-1.27
WBGene00223720	0.71
WBGene00223721	0.79
WBGene00223722	1.06
WBGene00223723	0.87
WBGene00223724	0.33
WBGene00223725	1.55
WBGene00223726	1.69
WBGene00223730	-0.36
WBGene00223731	0.56
WBGene00223733	-0.63
WBGene00223734	-1.21
WBGene00223735	0.65
WBGene00223736	-1.37
WBGene00223739	-0.62
WBGene00223742	3.53
WBGene00223744	-0.70
WBGene00223745	1.27
WBGene00223746	1.02
WBGene00223750	-9.43
WBGene00223751	1.06
WBGene00223752	1.22
WBGene00223759	0.56
WBGene00223761	-0.57
WBGene00223762	1.02
WBGene00223763	3.70
WBGene00223764	-1.74
WBGene00223765	0.71
WBGene00223766	-3.48
WBGene00223768	-0.44
WBGene00223769	-0.74
WBGene00223770	-2.13
WBGene00223771	-1.56
WBGene00223772	-0.58
WBGene00223773	2.59
WBGene00223775	-0.77
WBGene00223777	-2.04
WBGene00223780	1.03
WBGene00223785	-0.58
WBGene00223788	1.15
WBGene00223789	-3.86
WBGene00223790	-1.11
WBGene00223791	-1.86
WBGene00223792	1.38
WBGene00223793	1.86
WBGene00223794	-2.10
WBGene00223795	-3.71
WBGene00223797	-2.46
WBGene00223799	0.90
WBGene00223800	-0.74
WBGene00223801	0.66
WBGene00223802	-2.77
WBGene00223805	-1.23
WBGene00223807	-2.02
WBGene00223809	0.74
WBGene00223811	-4.15
WBGene00223812	-1.19
WBGene00223813	0.47
WBGene00223814	2.48
WBGene00223815	-4.59
WBGene00223816	2.14
WBGene00223817	1.00
WBGene00223821	-1.86
WBGene00223822	2.43
WBGene00223823	0.77
WBGene00223826	0.52
WBGene00223827	2.56
WBGene00223828	1.85
WBGene00223829	0.45
WBGene00223830	-0.77
WBGene00223831	-1.73
WBGene00223833	1.35
WBGene00223834	0.69
WBGene00223835	2.34
WBGene00223836	-0.47
WBGene00223837	0.82
WBGene00223838	1.81
WBGene00223839	-1.43
WBGene00223841	-2.54
WBGene00223842	-1.24
WBGene00223847	1.52
WBGene00223848	-0.86
WBGene00223850	-1.61
WBGene00223851	0.86
WBGene00223852	0.85
WBGene00223853	-4.49
WBGene00223854	0.92
WBGene00223857	-0.47
WBGene00223860	-8.22
WBGene00223861	-2.79
WBGene00223863	-2.82
WBGene00223865	3.04
WBGene00223866	-5.95
WBGene00223867	-4.24
WBGene00223868	-0.87
WBGene00223869	2.58
WBGene00223870	3.27
WBGene00223871	-7.42
WBGene00223872	-0.61
WBGene00223874	-1.89
WBGene00223875	2.68
WBGene00223876	3.61
WBGene00223877	1.15
WBGene00223878	-2.05
WBGene00223883	-0.57
WBGene00223884	0.84
WBGene00223885	-10.66
WBGene00223886	-1.31
WBGene00223887	-1.10
WBGene00223888	1.73
WBGene00223889	1.93
WBGene00223891	-0.93
WBGene00223893	-2.93
WBGene00223894	0.84
WBGene00223899	0.89
WBGene00223902	1.68
WBGene00223903	2.53
WBGene00223906	-0.40
WBGene00223907	-2.09
WBGene00223910	-1.15
WBGene00223911	-8.38
WBGene00223912	-0.87
WBGene00223913	-1.60
WBGene00223916	-0.97
WBGene00223919	2.03
WBGene00223921	0.88
WBGene00223923	1.56
WBGene00223926	2.25
WBGene00223927	1.08
WBGene00223929	1.30
WBGene00223930	-0.93
WBGene00223931	0.59
WBGene00223932	0.36
WBGene00223933	-0.79
WBGene00223934	-1.40
WBGene00223935	1.22
WBGene00223936	-2.49
WBGene00223937	1.75
WBGene00223938	0.92
WBGene00223939	1.66
WBGene00223940	3.06
WBGene00223941	-2.15
WBGene00223942	-1.02
WBGene00223943	-2.75
WBGene00223945	3.85
WBGene00223947	1.13
WBGene00223948	0.58
WBGene00223950	1.26
WBGene00223951	1.39
WBGene00223952	2.71
WBGene00223953	-1.42
WBGene00223954	0.63
WBGene00223956	-0.57
WBGene00223957	-1.40
WBGene00223959	-1.63
WBGene00223960	0.76
WBGene00223961	1.22
WBGene00223964	-1.92
WBGene00223965	1.12
WBGene00223966	1.62
WBGene00223967	-0.64
WBGene00223968	-0.58
WBGene00223972	-1.19
WBGene00223973	-1.23
WBGene00223975	1.91
WBGene00223976	1.70
WBGene00223977	-1.16
WBGene00223980	-0.45
WBGene00223981	-1.89
WBGene00223982	0.94
WBGene00223983	-0.93
WBGene00223984	-1.02
WBGene00223985	-0.62
WBGene00223986	2.12
WBGene00223987	-2.55
WBGene00223988	-4.90
WBGene00223989	-1.48
WBGene00223990	-0.84
WBGene00223991	1.53
WBGene00223994	3.12
WBGene00223997	-3.42
WBGene00223998	1.45
WBGene00223999	-1.63
WBGene00224000	-8.09
WBGene00224001	-0.49
WBGene00224002	1.53
WBGene00224003	-1.86
WBGene00224004	-1.82
WBGene00224005	0.80
WBGene00224007	2.05
WBGene00224008	0.68
WBGene00224009	-1.30
WBGene00224010	1.35
WBGene00224014	0.79
WBGene00224017	0.98
WBGene00224018	0.39
WBGene00224019	-2.86
WBGene00224021	0.52
WBGene00224022	0.93
WBGene00224023	6.30
WBGene00224024	-1.22
WBGene00224027	1.55
WBGene00224029	1.26
WBGene00224030	-1.21
WBGene00224031	0.81
WBGene00224033	-1.02
WBGene00224034	-1.45
WBGene00224036	0.38
WBGene00224038	-1.80
WBGene00224039	2.91
WBGene00224041	0.49
WBGene00224042	1.19
WBGene00224043	-1.01
WBGene00224044	-3.05
WBGene00224045	-0.77
WBGene00224046	-0.57
WBGene00224047	0.46
WBGene00224048	-1.60
WBGene00224052	-1.58
WBGene00224055	-1.92
WBGene00224057	-0.81
WBGene00224058	-1.87
WBGene00224059	0.80
WBGene00224061	1.39
WBGene00224062	1.13
WBGene00224063	0.44
WBGene00224064	-0.75
WBGene00224065	1.15
WBGene00224066	1.80
WBGene00224067	0.66
WBGene00224071	1.09
WBGene00224073	-3.67
WBGene00224074	2.16
WBGene00224075	4.83
WBGene00224078	-0.43
WBGene00224079	1.88
WBGene00224081	2.08
WBGene00224084	-2.79
WBGene00224088	-7.29
WBGene00224089	-5.53
WBGene00224090	2.59
WBGene00224091	1.58
WBGene00224093	5.48
WBGene00224095	2.34
WBGene00224096	-0.72
WBGene00224098	-2.75
WBGene00224099	0.55
WBGene00224100	-2.00
WBGene00224101	1.05
WBGene00224102	1.42
WBGene00224103	-2.94
WBGene00224104	0.92
WBGene00224105	-3.00
WBGene00224106	1.49
WBGene00224108	-2.11
WBGene00224111	1.40
WBGene00224115	2.25
WBGene00224116	0.56
WBGene00224117	-0.81
WBGene00224118	1.21
WBGene00224121	-2.08
WBGene00224122	-1.10
WBGene00224123	-5.09
WBGene00224125	2.36
WBGene00224126	0.83
WBGene00224128	-1.73
WBGene00224132	2.13
WBGene00224133	-0.87
WBGene00224135	1.14
WBGene00224137	-0.50
WBGene00224143	0.91
WBGene00224144	-1.32
WBGene00224145	-3.19
WBGene00224146	1.18
WBGene00224147	0.79
WBGene00224148	2.32
WBGene00224150	0.88
WBGene00224152	-1.52
WBGene00224153	0.59
WBGene00224154	0.65
WBGene00224156	-1.50
WBGene00224158	-0.70
WBGene00224159	0.47
WBGene00224160	1.72
WBGene00224162	-1.08
WBGene00224163	0.96
WBGene00224164	-0.68
WBGene00224165	-0.37
WBGene00224166	3.74
WBGene00224167	-0.69
WBGene00224168	0.44
WBGene00224169	-0.64
WBGene00224171	1.44
WBGene00224173	1.74
WBGene00224175	1.80
WBGene00224176	-0.70
WBGene00224177	-1.39
WBGene00224178	1.17
WBGene00224179	1.49
WBGene00224180	-0.70
WBGene00224181	-1.93
WBGene00224183	-5.13
WBGene00224185	0.37
WBGene00224186	0.36
WBGene00224187	0.83
WBGene00224189	-0.92
WBGene00224190	0.72
WBGene00224191	1.57
WBGene00224195	0.36
WBGene00224196	2.23
WBGene00224198	0.90
WBGene00224200	2.35
WBGene00224204	-0.90
WBGene00224205	1.48
WBGene00224207	-0.49
WBGene00224208	0.69
WBGene00224209	2.60
WBGene00224210	-1.78
WBGene00224213	-2.26
WBGene00224214	-0.77
WBGene00224216	0.77
WBGene00224217	1.55
WBGene00224218	-7.29
WBGene00224219	3.99
WBGene00224220	1.28
WBGene00224221	1.07
WBGene00224222	1.47
WBGene00224223	3.33
WBGene00224224	0.97
WBGene00224226	2.20
WBGene00224230	0.68
WBGene00224233	-1.01
WBGene00224234	-6.95
WBGene00224238	-1.93
WBGene00224239	-0.78
WBGene00224240	2.32
WBGene00224241	1.14
WBGene00224242	1.85
WBGene00224243	-2.06
WBGene00224244	-1.32
WBGene00224245	-1.43
WBGene00224246	-1.71
WBGene00224248	-0.66
WBGene00224250	2.42
WBGene00224251	-0.93
WBGene00224253	1.49
WBGene00224255	-6.51
WBGene00224256	-0.43
WBGene00224257	-2.79
WBGene00224261	-0.84
WBGene00224262	-1.10
WBGene00224264	1.87
WBGene00224273	1.05
WBGene00224274	1.43
WBGene00224275	-3.67
WBGene00224276	-1.46
WBGene00224277	1.73
WBGene00224278	-6.45
WBGene00224279	0.57
WBGene00224282	-4.88
WBGene00224285	5.33
WBGene00224286	1.44
WBGene00224288	0.46
WBGene00224289	-4.37
WBGene00224291	1.33
WBGene00224292	-9.31
WBGene00224293	-0.82
WBGene00224294	0.51
WBGene00224295	1.48
WBGene00224297	-0.51
WBGene00224298	-2.97
WBGene00224300	1.09
WBGene00224301	1.91
WBGene00224304	1.85
WBGene00224305	-2.71
WBGene00224306	0.99
WBGene00224307	1.18
WBGene00224310	-1.80
WBGene00224311	2.09
WBGene00224314	-1.18
WBGene00224315	1.63
WBGene00224316	0.96
WBGene00224317	-1.12
WBGene00224318	0.69
WBGene00224319	2.95
WBGene00224320	-0.45
WBGene00224321	-2.48
WBGene00224322	-2.52
WBGene00224324	3.12
WBGene00224327	-7.41
WBGene00224328	1.61
WBGene00224329	-3.06
WBGene00224331	0.66
WBGene00224334	-5.04
WBGene00224335	-1.39
WBGene00224336	-0.96
WBGene00224338	1.01
WBGene00224341	-1.55
WBGene00224342	0.40
WBGene00224343	-2.84
WBGene00224344	2.60
WBGene00224345	1.85
WBGene00224346	0.47
WBGene00224351	-2.26
WBGene00224353	1.53
WBGene00224354	0.98
WBGene00224356	-0.57
WBGene00224357	1.39
WBGene00224358	-1.76
WBGene00224359	0.85
WBGene00224360	-4.23
WBGene00224361	-0.65
WBGene00224362	-1.77
WBGene00224363	1.50
WBGene00224365	0.82
WBGene00224367	1.27
WBGene00224368	0.71
WBGene00224371	0.81
WBGene00224373	-1.83
WBGene00224375	-1.20
WBGene00224377	-1.23
WBGene00224379	-0.90
WBGene00224381	-4.14
WBGene00224382	-1.47
WBGene00224383	1.52
WBGene00224384	2.38
WBGene00224386	-4.37
WBGene00224388	3.17
WBGene00224389	-0.77
WBGene00224391	-3.12
WBGene00224392	5.21
WBGene00224393	-3.17
WBGene00224396	-1.30
WBGene00224397	1.22
WBGene00224400	2.89
WBGene00224401	0.77
WBGene00224402	-0.74
WBGene00224403	1.30
WBGene00224406	1.81
WBGene00224407	0.46
WBGene00224410	-1.12
WBGene00224412	1.96
WBGene00224413	0.87
WBGene00224414	1.86
WBGene00224415	0.71
WBGene00224416	1.06
WBGene00224417	-1.42
WBGene00224418	1.17
WBGene00224419	0.41
WBGene00224420	-1.27
WBGene00224424	-1.16
WBGene00224430	4.53
WBGene00224431	1.76
WBGene00224433	-1.80
WBGene00224438	0.60
WBGene00224439	-1.98
WBGene00224443	0.88
WBGene00224445	-4.79
WBGene00224446	5.77
WBGene00224448	1.82
WBGene00224449	1.27
WBGene00224450	-0.70
WBGene00224452	-1.16
WBGene00224453	2.02
WBGene00224455	-0.46
WBGene00224456	-3.18
WBGene00224457	1.20
WBGene00224458	2.00
WBGene00224459	1.35
WBGene00224461	3.77
WBGene00224462	0.68
WBGene00224463	-1.10
WBGene00224464	0.65
WBGene00224465	0.41
WBGene00224466	2.56
WBGene00224467	-2.17
WBGene00224469	0.88
WBGene00224470	0.75
WBGene00224472	0.57
WBGene00224473	-1.97
WBGene00224474	3.37
WBGene00224477	-4.68
WBGene00224479	-2.83
WBGene00224480	-1.66
WBGene00224481	1.64
WBGene00224487	1.57
WBGene00224488	1.78
WBGene00224489	1.40
WBGene00224490	0.52
WBGene00224492	1.42
WBGene00224493	0.96
WBGene00224494	-1.97
WBGene00224495	3.68
WBGene00224498	1.85
WBGene00224499	-0.91
WBGene00224500	-1.48
WBGene00224503	0.79
WBGene00224504	2.20
WBGene00224506	3.99
WBGene00224507	-4.42
WBGene00224508	-2.53
WBGene00224509	-0.66
WBGene00224510	-0.47
WBGene00224511	0.63
WBGene00224513	-1.90
WBGene00224514	0.83
WBGene00224515	1.85
WBGene00224516	-2.24
WBGene00224517	-1.18
WBGene00224518	5.26
WBGene00224521	-2.26
WBGene00224523	-1.06
WBGene00224524	-0.50
WBGene00224525	3.53
WBGene00224527	1.88
WBGene00224529	2.99
WBGene00224530	-4.88
WBGene00224531	-6.45
WBGene00224533	2.90
WBGene00224535	2.33
WBGene00224536	0.83
WBGene00224537	0.43
WBGene00224538	2.14
WBGene00224539	3.89
WBGene00224540	0.69
WBGene00224541	1.09
WBGene00224543	-2.40
WBGene00224544	-1.64
WBGene00224545	-1.55
WBGene00224546	2.15
WBGene00224549	2.50
WBGene00224552	2.31
WBGene00224554	0.85
WBGene00224555	1.22
WBGene00224556	0.47
WBGene00224558	0.45
WBGene00224560	1.24
WBGene00224561	1.72
WBGene00224562	1.36
WBGene00224563	0.90
WBGene00224564	1.63
WBGene00224565	0.89
WBGene00224566	-1.41
WBGene00224568	-1.22
WBGene00224569	-1.41
WBGene00224571	0.49
WBGene00224573	-0.65
WBGene00224574	4.65
WBGene00224575	0.55
WBGene00224577	-3.20
WBGene00224578	0.97
WBGene00224579	1.64
WBGene00224580	-2.67
WBGene00224581	1.01
WBGene00224582	1.55
WBGene00224583	-5.10
WBGene00224585	1.53
WBGene00224587	2.71
WBGene00224588	1.32
WBGene00224589	2.91
WBGene00224590	-1.08
WBGene00224591	-0.86
WBGene00224592	3.86
WBGene00224593	-0.73
WBGene00224595	1.69
WBGene00224596	-2.00
WBGene00224599	0.51
WBGene00224600	-3.92
WBGene00224604	-2.80
WBGene00224606	1.32
WBGene00224608	1.78
WBGene00224609	-1.19
WBGene00224610	1.78
WBGene00224611	-1.66
WBGene00224614	-1.09
WBGene00224615	1.03
WBGene00224617	-11.85
WBGene00224618	-1.57
WBGene00224619	2.01
WBGene00224620	0.97
WBGene00224621	1.37
WBGene00224622	-1.04
WBGene00224623	0.74
WBGene00224624	-0.79
WBGene00224625	-4.66
WBGene00224627	-1.69
WBGene00224628	-2.05
WBGene00224629	0.97
WBGene00224630	0.73
WBGene00224633	0.89
WBGene00224634	0.73
WBGene00224635	-1.27
WBGene00224636	4.02
WBGene00224637	1.50
WBGene00224638	-0.46
WBGene00224639	-2.43
WBGene00224640	0.79
WBGene00224641	-1.89
WBGene00224644	2.67
WBGene00224647	-1.26
WBGene00224648	-1.80
WBGene00224649	-1.08
WBGene00224651	0.40
WBGene00224652	-0.55
WBGene00224653	1.20
WBGene00224655	-1.76
WBGene00224657	0.33
WBGene00224658	2.00
WBGene00224661	1.48
WBGene00224662	0.87
WBGene00224663	-3.37
WBGene00224664	-1.67
WBGene00224665	0.91
WBGene00224666	-3.06
WBGene00224668	-1.42
WBGene00224669	0.62
WBGene00224670	-1.67
WBGene00224672	-5.46
WBGene00224673	-1.22
WBGene00224675	0.89
WBGene00224676	1.56
WBGene00224678	0.78
WBGene00224679	-0.87
WBGene00224681	-1.23
WBGene00224682	-5.74
WBGene00224683	0.84
WBGene00224684	0.70
WBGene00224685	2.73
WBGene00224686	-0.55
WBGene00224687	2.71
WBGene00224688	-3.53
WBGene00224692	-2.63
WBGene00224696	0.69
WBGene00224697	-1.08
WBGene00224698	0.68
WBGene00224700	-1.68
WBGene00224701	0.73
WBGene00224705	-4.17
WBGene00224706	0.59
WBGene00224708	-3.86
WBGene00224711	0.97
WBGene00224712	-0.38
WBGene00224713	1.95
WBGene00224714	3.29
WBGene00224715	0.81
