# Differential expression analysis for study ERP0009481 contrast  across:biosourceprovider. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !L3 vs L3 (GA sample): L3 (GA sample) - low replicates (1). L3 - low replicates (1)
	!L3 vs L3 (GA sample)
WBGene00226246	-2.36
WBGene00226249	6.25
WBGene00226250	-3.75
WBGene00226251	9.35
WBGene00226252	-0.69
WBGene00226253	2.77
WBGene00226254	-1.60
WBGene00226255	1.21
WBGene00226256	6.75
WBGene00226257	6.61
WBGene00226258	-1.31
WBGene00226260	2.27
WBGene00226261	-4.36
WBGene00226262	5.49
WBGene00226264	-5.17
WBGene00226265	1.78
WBGene00226266	1.30
WBGene00226267	4.69
WBGene00226269	7.85
WBGene00226270	-5.00
WBGene00226271	4.51
WBGene00226272	-3.42
WBGene00226273	-3.39
WBGene00226274	-1.79
WBGene00226275	-4.62
WBGene00226276	0.82
WBGene00226277	1.52
WBGene00226278	2.09
WBGene00226283	2.71
WBGene00226284	-1.72
WBGene00226285	1.58
WBGene00226286	6.41
WBGene00226287	1.47
WBGene00226289	-3.36
WBGene00226292	2.40
WBGene00226293	-2.72
WBGene00226295	3.73
WBGene00226296	-3.09
WBGene00226299	7.74
WBGene00226300	-4.52
WBGene00226301	2.26
WBGene00226303	-1.43
WBGene00226304	5.72
WBGene00226305	-1.93
WBGene00226307	9.93
WBGene00226308	6.46
WBGene00226310	-0.78
WBGene00226312	-1.23
WBGene00226313	6.15
WBGene00226314	-1.12
WBGene00226315	-1.71
WBGene00226318	4.12
WBGene00226319	1.94
WBGene00226320	1.91
WBGene00226321	7.14
WBGene00226322	7.18
WBGene00226324	-3.11
WBGene00226325	0.81
WBGene00226327	1.27
WBGene00226328	8.27
WBGene00226330	-3.17
WBGene00226332	7.02
WBGene00226333	6.58
WBGene00226334	-3.11
WBGene00226335	-1.63
WBGene00226341	-1.71
WBGene00226342	0.49
WBGene00226344	10.01
WBGene00226345	2.51
WBGene00226348	-3.68
WBGene00226349	4.39
WBGene00226350	-1.64
WBGene00226351	3.81
WBGene00226352	1.30
WBGene00226353	-3.90
WBGene00226356	7.65
WBGene00226357	-1.89
WBGene00226361	2.86
WBGene00226363	-1.38
WBGene00226365	9.58
WBGene00226367	2.69
WBGene00226368	2.99
WBGene00226369	-4.49
WBGene00226370	-4.41
WBGene00226371	8.39
WBGene00226372	4.94
WBGene00226373	4.98
WBGene00226375	-2.04
WBGene00226376	0.90
WBGene00226377	-2.42
WBGene00226380	5.84
WBGene00226383	-4.96
WBGene00226384	-0.87
WBGene00226386	-3.43
WBGene00226387	8.89
WBGene00226388	6.85
WBGene00226389	-2.30
WBGene00226392	1.00
WBGene00226394	-1.02
WBGene00226395	7.74
WBGene00226397	-2.21
WBGene00226398	0.67
WBGene00226400	7.12
WBGene00226401	-3.58
WBGene00226402	-2.47
WBGene00226403	-4.20
WBGene00226404	4.89
WBGene00226406	2.24
WBGene00226407	2.40
WBGene00226408	3.20
WBGene00226409	-2.45
WBGene00226410	-4.55
WBGene00226411	-5.78
WBGene00226414	4.50
WBGene00226415	6.33
WBGene00226416	-6.60
WBGene00226417	2.09
WBGene00226419	3.69
WBGene00226421	-6.77
WBGene00226422	6.47
WBGene00226423	-3.16
WBGene00226424	-0.46
WBGene00226428	-4.19
WBGene00226429	2.46
WBGene00226430	0.70
WBGene00226431	-0.85
WBGene00226432	-8.85
WBGene00226433	2.62
WBGene00226434	5.57
WBGene00226435	-0.76
WBGene00226437	-1.24
WBGene00226441	7.85
WBGene00226442	6.59
WBGene00226443	2.54
WBGene00226444	6.27
WBGene00226445	9.10
WBGene00226446	5.99
WBGene00226447	1.62
WBGene00226448	4.72
WBGene00226451	5.98
WBGene00226452	-0.76
WBGene00226456	-6.95
WBGene00226457	0.71
WBGene00226458	-3.14
WBGene00226459	1.84
WBGene00226460	-1.44
WBGene00226461	4.64
WBGene00226462	4.16
WBGene00226463	5.84
WBGene00226464	-2.07
WBGene00226469	3.61
WBGene00226474	7.62
WBGene00226475	6.47
WBGene00226476	-2.55
WBGene00226477	-1.88
WBGene00226478	2.21
WBGene00226480	0.83
WBGene00226481	1.20
WBGene00226482	-1.19
WBGene00226484	2.14
WBGene00226485	-1.40
WBGene00226486	-4.09
WBGene00226488	-1.41
WBGene00226489	4.83
WBGene00226490	-2.81
WBGene00226491	8.12
WBGene00226492	2.62
WBGene00226493	-2.02
WBGene00226495	-2.39
WBGene00226496	2.74
WBGene00226497	-2.01
WBGene00226499	-2.33
WBGene00226500	5.55
WBGene00226501	8.85
WBGene00226502	1.37
WBGene00226503	3.10
WBGene00226504	1.42
WBGene00226507	4.80
WBGene00226508	3.46
WBGene00226509	1.09
WBGene00226510	4.41
WBGene00226511	1.52
WBGene00226513	9.61
WBGene00226516	3.13
WBGene00226517	8.02
WBGene00226518	6.62
WBGene00226519	7.04
WBGene00226520	-1.88
WBGene00226521	-1.74
WBGene00226523	5.86
WBGene00226524	-4.70
WBGene00226527	8.51
WBGene00226528	9.17
WBGene00226529	-2.28
WBGene00226530	4.59
WBGene00226531	5.46
WBGene00226532	2.96
WBGene00226533	4.14
WBGene00226534	-3.38
WBGene00226535	6.40
WBGene00226537	5.98
WBGene00226542	3.66
WBGene00226543	2.47
WBGene00226544	9.00
WBGene00226546	0.74
WBGene00226548	-3.25
WBGene00226549	-1.89
WBGene00226550	-0.68
WBGene00226551	4.11
WBGene00226552	2.94
WBGene00226553	5.16
WBGene00226554	-10.26
WBGene00226555	6.51
WBGene00226556	5.37
WBGene00226560	8.94
WBGene00226561	-2.29
WBGene00226562	-1.39
WBGene00226563	-2.46
WBGene00226564	-2.43
WBGene00226565	1.21
WBGene00226566	-3.48
WBGene00226567	2.83
WBGene00226568	2.10
WBGene00226569	-3.08
WBGene00226570	7.65
WBGene00226571	-0.81
WBGene00226572	7.77
WBGene00226573	-1.46
WBGene00226574	3.87
WBGene00226575	-5.94
WBGene00226577	-2.12
WBGene00226578	-0.60
WBGene00226579	3.34
WBGene00226580	6.73
WBGene00226581	1.67
WBGene00226582	1.07
WBGene00226583	-1.01
WBGene00226584	-4.32
WBGene00226585	8.83
WBGene00226586	4.62
WBGene00226587	-2.58
WBGene00226588	7.29
WBGene00226589	7.91
WBGene00226590	2.96
WBGene00226592	-2.21
WBGene00226593	-7.20
WBGene00226595	3.16
WBGene00226600	-1.45
WBGene00226602	-1.16
WBGene00226604	3.23
WBGene00226605	-2.45
WBGene00226606	-2.17
WBGene00226609	-1.97
WBGene00226610	2.24
WBGene00226613	-2.59
WBGene00226614	-1.05
WBGene00226615	-0.67
WBGene00226616	3.51
WBGene00226618	4.67
WBGene00226620	2.68
WBGene00226621	-2.53
WBGene00226622	1.61
WBGene00226624	2.53
WBGene00226625	6.28
WBGene00226627	-1.19
WBGene00226629	5.41
WBGene00226630	0.77
WBGene00226631	-1.91
WBGene00226632	0.69
WBGene00226633	2.35
WBGene00226635	-3.89
WBGene00226638	-2.75
WBGene00226639	-2.10
WBGene00226640	1.87
WBGene00226641	5.36
WBGene00226642	5.96
WBGene00226643	-4.55
WBGene00226645	3.45
WBGene00226646	-1.38
WBGene00226647	3.47
WBGene00226648	5.75
WBGene00226650	7.60
WBGene00226651	-0.83
WBGene00226652	-1.17
WBGene00226653	6.83
WBGene00226654	-2.90
WBGene00226655	7.04
WBGene00226656	-1.91
WBGene00226659	-2.66
WBGene00226660	-2.21
WBGene00226662	-1.02
WBGene00226664	8.29
WBGene00226665	-7.82
WBGene00226666	-1.05
WBGene00226667	-3.31
WBGene00226668	2.58
WBGene00226671	2.37
WBGene00226673	4.29
WBGene00226674	-3.85
WBGene00226675	-4.93
WBGene00226676	-5.75
WBGene00226677	-4.09
WBGene00226678	9.57
WBGene00226679	8.76
WBGene00226680	-1.39
WBGene00226681	2.02
WBGene00226682	4.77
WBGene00226683	-0.54
WBGene00226684	-2.34
WBGene00226685	8.62
WBGene00226687	1.12
WBGene00226689	-2.15
WBGene00226690	3.70
WBGene00226691	3.83
WBGene00226692	2.33
WBGene00226693	8.89
WBGene00226694	4.32
WBGene00226695	8.40
WBGene00226696	4.45
WBGene00226699	4.77
WBGene00226702	5.25
WBGene00226703	-5.28
WBGene00226704	7.49
WBGene00226707	7.59
WBGene00226708	10.51
WBGene00226709	1.74
WBGene00226710	9.13
WBGene00226711	-0.75
WBGene00226712	6.23
WBGene00226713	-1.13
WBGene00226714	-3.67
WBGene00226717	-1.75
WBGene00226718	2.15
WBGene00226719	2.16
WBGene00226721	5.86
WBGene00226724	4.83
WBGene00226725	5.69
WBGene00226726	-0.89
WBGene00226727	1.07
WBGene00226728	3.84
WBGene00226729	5.82
WBGene00226730	-1.76
WBGene00226731	-1.61
WBGene00226733	-4.98
WBGene00226735	-1.82
WBGene00226736	4.49
WBGene00226737	-2.13
WBGene00226741	0.92
WBGene00226743	-1.35
WBGene00226744	-2.16
WBGene00226745	3.57
WBGene00226747	-2.68
WBGene00226748	-2.63
WBGene00226749	-0.89
WBGene00226750	-3.80
WBGene00226751	5.34
WBGene00226754	-3.10
WBGene00226755	1.31
WBGene00226756	-4.50
WBGene00226757	1.20
WBGene00226759	7.65
WBGene00226760	4.79
WBGene00226761	-3.25
WBGene00226762	5.83
WBGene00226763	-2.24
WBGene00226764	4.15
WBGene00226765	1.99
WBGene00226766	6.91
WBGene00226771	2.52
WBGene00226773	2.33
WBGene00226774	8.50
WBGene00226776	7.61
WBGene00226777	3.34
WBGene00226778	-1.02
WBGene00226780	0.72
WBGene00226781	-1.23
WBGene00226782	5.80
WBGene00226783	-4.48
WBGene00226784	1.69
WBGene00226785	1.69
WBGene00226786	-9.78
WBGene00226787	0.86
WBGene00226788	2.79
WBGene00226789	-2.93
WBGene00226791	2.59
WBGene00226792	5.94
WBGene00226793	-2.37
WBGene00226794	4.31
WBGene00226795	2.01
WBGene00226797	-2.00
WBGene00226798	-5.92
WBGene00226799	1.43
WBGene00226800	1.74
WBGene00226801	-1.23
WBGene00226803	-0.74
WBGene00226804	1.30
WBGene00226805	6.67
WBGene00226807	2.54
WBGene00226808	-3.31
WBGene00226809	4.69
WBGene00226811	-5.06
WBGene00226814	-2.84
WBGene00226815	6.03
WBGene00226817	-1.08
WBGene00226818	0.87
WBGene00226819	6.95
WBGene00226821	-1.68
WBGene00226822	-5.04
WBGene00226824	-5.63
WBGene00226825	-2.39
WBGene00226827	1.70
WBGene00226829	-4.30
WBGene00226830	8.89
WBGene00226831	8.27
WBGene00226834	0.79
WBGene00226836	2.01
WBGene00226837	8.35
WBGene00226838	4.19
WBGene00226839	6.92
WBGene00226841	3.69
WBGene00226842	-0.74
WBGene00226843	7.41
WBGene00226844	-1.75
WBGene00226845	-0.46
WBGene00226846	-4.13
WBGene00226847	3.55
WBGene00226849	-1.13
WBGene00226851	11.55
WBGene00226855	-1.78
WBGene00226857	-3.12
WBGene00226858	1.88
WBGene00226860	-10.03
WBGene00226861	3.27
WBGene00226862	7.67
WBGene00226863	-2.65
WBGene00226864	-5.60
WBGene00226865	-3.43
WBGene00226867	-3.07
WBGene00226868	6.11
WBGene00226869	-5.52
WBGene00226870	-4.60
WBGene00226871	-2.86
WBGene00226872	4.85
WBGene00226873	-2.51
WBGene00226876	8.75
WBGene00226877	2.47
WBGene00226878	3.69
WBGene00226879	-1.75
WBGene00226880	-1.08
WBGene00226881	1.15
WBGene00226882	-2.47
WBGene00226883	-4.28
WBGene00226884	-1.16
WBGene00226885	1.65
WBGene00226887	-1.14
WBGene00226889	-2.21
WBGene00226892	3.31
WBGene00226893	-1.24
WBGene00226895	3.48
WBGene00226896	-4.88
WBGene00226897	2.90
WBGene00226899	-0.83
WBGene00226901	-3.80
WBGene00226902	-1.41
WBGene00226903	-0.92
WBGene00226904	-2.29
WBGene00226906	-1.62
WBGene00226907	1.99
WBGene00226908	10.58
WBGene00226909	-9.85
WBGene00226910	-2.82
WBGene00226911	7.94
WBGene00226912	-0.96
WBGene00226913	2.48
WBGene00226914	4.39
WBGene00226916	-3.96
WBGene00226917	-2.57
WBGene00226918	-4.83
WBGene00226919	-1.68
WBGene00226920	-2.21
WBGene00226921	-3.80
WBGene00226924	-2.95
WBGene00226925	-3.77
WBGene00226926	4.77
WBGene00226927	1.86
WBGene00226928	1.35
WBGene00226929	-5.47
WBGene00226931	-1.34
WBGene00226932	-1.77
WBGene00226933	-1.22
WBGene00226934	1.16
WBGene00226935	0.77
WBGene00226936	-3.10
WBGene00226938	4.00
WBGene00226941	-0.40
WBGene00226942	-0.72
WBGene00226946	-2.16
WBGene00226947	10.67
WBGene00226950	-5.60
WBGene00226951	5.49
WBGene00226952	7.46
WBGene00226953	-1.58
WBGene00226954	-4.36
WBGene00226956	2.80
WBGene00226957	0.59
WBGene00226959	0.97
WBGene00226961	3.94
WBGene00226962	5.10
WBGene00226963	-1.49
WBGene00226964	-1.17
WBGene00226966	-2.92
WBGene00226968	-2.70
WBGene00226969	-1.52
WBGene00226970	4.12
WBGene00226971	-2.92
WBGene00226973	-1.16
WBGene00226976	1.51
WBGene00226977	-7.60
WBGene00226979	-3.67
WBGene00226980	-0.49
WBGene00226981	3.83
WBGene00226982	-2.55
WBGene00226983	7.02
WBGene00226984	-0.64
WBGene00226985	5.54
WBGene00226987	-3.18
WBGene00226988	-2.08
WBGene00226991	6.92
WBGene00226994	-0.54
WBGene00226995	-3.26
WBGene00226996	-2.31
WBGene00226997	-1.44
WBGene00226998	0.79
WBGene00227000	-1.47
WBGene00227001	4.71
WBGene00227002	7.11
WBGene00227003	7.25
WBGene00227005	1.24
WBGene00227006	8.23
WBGene00227007	-1.52
WBGene00227008	-1.69
WBGene00227009	7.60
WBGene00227010	-2.36
WBGene00227011	1.34
WBGene00227014	-2.84
WBGene00227015	-1.75
WBGene00227016	-5.86
WBGene00227019	0.75
WBGene00227020	0.94
WBGene00227021	1.43
WBGene00227022	-6.51
WBGene00227023	4.66
WBGene00227025	8.24
WBGene00227026	6.15
WBGene00227027	3.05
WBGene00227028	-1.82
WBGene00227029	-2.14
WBGene00227030	3.73
WBGene00227031	5.57
WBGene00227032	-2.19
WBGene00227033	7.19
WBGene00227034	3.33
WBGene00227036	5.58
WBGene00227037	7.03
WBGene00227039	1.15
WBGene00227041	-3.68
WBGene00227044	-0.49
WBGene00227045	1.10
WBGene00227048	-2.61
WBGene00227050	-3.78
WBGene00227053	-2.57
WBGene00227055	1.10
WBGene00227057	-2.53
WBGene00227058	5.72
WBGene00227060	3.60
WBGene00227062	-2.29
WBGene00227063	1.43
WBGene00227064	4.29
WBGene00227065	5.39
WBGene00227067	-4.47
WBGene00227069	0.67
WBGene00227071	-0.90
WBGene00227072	8.71
WBGene00227073	-1.20
WBGene00227076	8.50
WBGene00227077	-2.67
WBGene00227078	-3.56
WBGene00227081	-0.58
WBGene00227082	-5.14
WBGene00227083	2.07
WBGene00227084	8.70
WBGene00227086	7.82
WBGene00227087	1.47
WBGene00227089	5.42
WBGene00227090	-2.15
WBGene00227091	-2.52
WBGene00227093	4.42
WBGene00227094	3.70
WBGene00227095	6.26
WBGene00227098	2.97
WBGene00227100	8.22
WBGene00227101	-2.11
WBGene00227103	-3.19
WBGene00227104	-1.83
WBGene00227105	6.10
WBGene00227106	-1.38
WBGene00227109	-4.40
WBGene00227110	5.13
WBGene00227111	4.19
WBGene00227112	1.63
WBGene00227113	4.95
WBGene00227115	5.82
WBGene00227116	2.06
WBGene00227117	-1.51
WBGene00227118	2.02
WBGene00227119	8.14
WBGene00227121	2.91
WBGene00227122	2.12
WBGene00227123	2.46
WBGene00227124	7.52
WBGene00227125	-2.97
WBGene00227126	-3.13
WBGene00227127	-1.87
WBGene00227128	4.89
WBGene00227130	-1.75
WBGene00227131	6.52
WBGene00227132	-0.64
WBGene00227134	2.33
WBGene00227136	4.76
WBGene00227137	1.09
WBGene00227138	6.87
WBGene00227139	-1.04
WBGene00227140	5.56
WBGene00227141	4.47
WBGene00227142	-1.14
WBGene00227143	7.73
WBGene00227144	1.43
WBGene00227145	-1.30
WBGene00227146	-2.69
WBGene00227147	4.79
WBGene00227148	-2.29
WBGene00227149	-1.67
WBGene00227150	0.75
WBGene00227151	-1.25
WBGene00227152	0.82
WBGene00227153	2.91
WBGene00227155	-1.75
WBGene00227157	2.01
WBGene00227158	1.90
WBGene00227159	3.77
WBGene00227160	9.27
WBGene00227161	-2.58
WBGene00227163	2.29
WBGene00227164	1.30
WBGene00227166	1.19
WBGene00227167	7.69
WBGene00227168	2.44
WBGene00227170	8.11
WBGene00227172	2.38
WBGene00227174	-1.83
WBGene00227175	7.44
WBGene00227179	-3.32
WBGene00227180	6.85
WBGene00227181	-2.31
WBGene00227183	-2.38
WBGene00227184	-1.49
WBGene00227185	-1.45
WBGene00227186	-1.23
WBGene00227187	0.59
WBGene00227188	7.13
WBGene00227190	-1.24
WBGene00227192	8.25
WBGene00227193	3.89
WBGene00227194	-2.39
WBGene00227195	-2.02
WBGene00227196	1.05
WBGene00227197	1.77
WBGene00227199	4.95
WBGene00227200	1.23
WBGene00227201	-0.84
WBGene00227203	2.42
WBGene00227204	1.38
WBGene00227207	-0.57
WBGene00227208	-0.87
WBGene00227209	4.11
WBGene00227210	4.73
WBGene00227211	2.09
WBGene00227212	2.33
WBGene00227214	-0.81
WBGene00227215	6.78
WBGene00227216	-2.09
WBGene00227217	7.75
WBGene00227218	8.05
WBGene00227219	2.03
WBGene00227220	7.63
WBGene00227221	2.33
WBGene00227222	0.71
WBGene00227223	7.45
WBGene00227224	-0.97
WBGene00227226	-2.62
WBGene00227227	4.84
WBGene00227228	1.80
WBGene00227230	2.55
WBGene00227231	-4.80
WBGene00227232	1.05
WBGene00227235	-1.68
WBGene00227236	4.57
WBGene00227237	-0.70
WBGene00227238	-6.41
WBGene00227239	1.06
WBGene00227240	-2.84
WBGene00227241	3.15
WBGene00227242	-3.04
WBGene00227243	-1.52
WBGene00227245	5.97
WBGene00227246	7.74
WBGene00227247	3.52
WBGene00227248	9.25
WBGene00227249	6.90
WBGene00227251	0.56
WBGene00227252	-2.01
WBGene00227253	3.76
WBGene00227255	6.95
WBGene00227256	5.13
WBGene00227257	-1.99
WBGene00227259	3.54
WBGene00227260	1.43
WBGene00227261	5.58
WBGene00227262	3.83
WBGene00227264	-1.75
WBGene00227265	0.66
WBGene00227266	1.01
WBGene00227267	-1.23
WBGene00227269	10.26
WBGene00227270	7.58
WBGene00227271	2.61
WBGene00227272	1.25
WBGene00227273	6.95
WBGene00227275	1.18
WBGene00227276	-1.49
WBGene00227280	-1.52
WBGene00227284	-5.96
WBGene00227285	4.93
WBGene00227286	1.73
WBGene00227287	-2.10
WBGene00227288	0.88
WBGene00227289	7.28
WBGene00227292	-5.21
WBGene00227293	2.25
WBGene00227294	-1.73
WBGene00227295	7.67
WBGene00227296	-1.92
WBGene00227298	0.86
WBGene00227299	1.61
WBGene00227300	5.90
WBGene00227301	2.95
WBGene00227302	3.39
WBGene00227304	2.97
WBGene00227306	-2.57
WBGene00227307	-4.72
WBGene00227309	-2.81
WBGene00227312	6.78
WBGene00227313	1.30
WBGene00227314	-1.98
WBGene00227315	0.33
WBGene00227316	-2.83
WBGene00227317	1.21
WBGene00227321	-1.60
WBGene00227322	2.86
WBGene00227325	3.70
WBGene00227326	-2.67
WBGene00227327	-2.28
WBGene00227328	6.96
WBGene00227330	-4.43
WBGene00227331	-1.20
WBGene00227334	6.82
WBGene00227336	8.02
WBGene00227337	3.16
WBGene00227338	-1.13
WBGene00227339	7.78
WBGene00227340	-7.35
WBGene00227342	6.19
WBGene00227344	-1.56
WBGene00227345	0.91
WBGene00227347	3.66
WBGene00227348	-5.01
WBGene00227349	1.45
WBGene00227350	-3.06
WBGene00227351	10.07
WBGene00227353	1.50
WBGene00227354	4.19
WBGene00227355	4.22
WBGene00227356	4.10
WBGene00227357	1.44
WBGene00227358	1.25
WBGene00227359	5.35
WBGene00227360	9.42
WBGene00227362	-2.90
WBGene00227363	-1.09
WBGene00227364	5.33
WBGene00227365	1.39
WBGene00227366	-2.21
WBGene00227368	8.11
WBGene00227370	-0.57
WBGene00227372	-2.32
WBGene00227373	-2.14
WBGene00227379	5.14
WBGene00227380	-3.25
WBGene00227382	2.57
WBGene00227383	8.62
WBGene00227385	4.52
WBGene00227386	-3.39
WBGene00227387	7.79
WBGene00227388	8.48
WBGene00227389	8.18
WBGene00227390	7.17
WBGene00227395	6.62
WBGene00227396	1.57
WBGene00227397	6.97
WBGene00227398	-4.74
WBGene00227399	2.00
WBGene00227402	-0.43
WBGene00227403	0.81
WBGene00227404	7.61
WBGene00227405	-1.37
WBGene00227406	-2.67
WBGene00227408	-1.12
WBGene00227409	5.66
WBGene00227410	2.32
WBGene00227411	4.05
WBGene00227412	-2.45
WBGene00227413	10.42
WBGene00227415	2.28
WBGene00227416	1.83
WBGene00227417	-1.02
WBGene00227418	-2.14
WBGene00227419	-1.03
WBGene00227420	6.46
WBGene00227423	5.35
WBGene00227425	6.39
WBGene00227426	7.27
WBGene00227427	2.71
WBGene00227428	9.16
WBGene00227429	-0.84
WBGene00227430	-1.12
WBGene00227431	1.31
WBGene00227432	1.67
WBGene00227434	8.40
WBGene00227435	6.99
WBGene00227437	-1.36
WBGene00227438	2.04
WBGene00227439	-1.51
WBGene00227440	-3.25
WBGene00227443	-1.74
WBGene00227444	0.74
WBGene00227446	3.38
WBGene00227447	-1.24
WBGene00227449	1.19
WBGene00227450	-2.03
WBGene00227452	1.32
WBGene00227453	2.74
WBGene00227454	4.41
WBGene00227455	3.01
WBGene00227456	-3.01
WBGene00227457	2.05
WBGene00227458	8.85
WBGene00227459	9.37
WBGene00227460	-1.15
WBGene00227461	1.44
WBGene00227462	7.35
WBGene00227463	-1.49
WBGene00227464	-1.17
WBGene00227465	2.88
WBGene00227466	-3.08
WBGene00227467	-3.28
WBGene00227468	-7.56
WBGene00227469	-5.64
WBGene00227471	3.03
WBGene00227472	4.35
WBGene00227474	0.91
WBGene00227477	1.42
WBGene00227478	-1.74
WBGene00227479	-1.05
WBGene00227481	2.06
WBGene00227482	5.34
WBGene00227483	4.42
WBGene00227484	-1.78
WBGene00227485	8.10
WBGene00227486	1.53
WBGene00227488	0.57
WBGene00227489	-6.71
WBGene00227490	2.03
WBGene00227491	2.09
WBGene00227492	-2.66
WBGene00227493	-5.80
WBGene00227495	-3.50
WBGene00227497	3.00
WBGene00227498	7.54
WBGene00227499	-3.63
WBGene00227500	-1.77
WBGene00227501	-4.45
WBGene00227502	-1.51
WBGene00227505	-2.13
WBGene00227506	-2.10
WBGene00227507	1.39
WBGene00227508	0.88
WBGene00227509	1.96
WBGene00227511	1.68
WBGene00227513	3.56
WBGene00227514	1.61
WBGene00227515	-2.08
WBGene00227516	2.70
WBGene00227519	6.76
WBGene00227520	-1.48
WBGene00227522	2.93
WBGene00227523	5.79
WBGene00227524	-1.90
WBGene00227525	0.84
WBGene00227526	9.02
WBGene00227527	-0.96
WBGene00227528	-2.48
WBGene00227529	-0.97
WBGene00227530	-1.28
WBGene00227534	-3.51
WBGene00227536	7.89
WBGene00227537	9.13
WBGene00227538	-2.48
WBGene00227539	5.28
WBGene00227540	-2.62
WBGene00227541	3.51
WBGene00227542	-1.58
WBGene00227543	2.86
WBGene00227544	3.90
WBGene00227545	3.30
WBGene00227546	1.46
WBGene00227547	-0.96
WBGene00227548	1.28
WBGene00227549	2.33
WBGene00227550	-2.24
WBGene00227551	3.22
WBGene00227552	3.43
WBGene00227553	-1.18
WBGene00227554	8.70
WBGene00227555	-0.91
WBGene00227558	-4.58
WBGene00227559	-7.10
WBGene00227560	-3.82
WBGene00227561	7.96
WBGene00227563	1.52
WBGene00227564	-2.05
WBGene00227567	1.77
WBGene00227568	3.79
WBGene00227569	1.60
WBGene00227570	-4.27
WBGene00227573	-7.47
WBGene00227574	-5.32
WBGene00227575	6.47
WBGene00227578	2.54
WBGene00227579	-1.49
WBGene00227580	-2.10
WBGene00227581	-1.77
WBGene00227583	-6.85
WBGene00227584	3.42
WBGene00227586	-2.01
WBGene00227588	6.21
WBGene00227589	-0.94
WBGene00227590	8.42
WBGene00227591	4.52
WBGene00227593	-2.11
WBGene00227594	0.85
WBGene00227595	1.22
WBGene00227598	-1.83
WBGene00227601	-2.90
WBGene00227602	1.45
WBGene00227603	-4.92
WBGene00227604	-5.45
WBGene00227611	1.15
WBGene00227612	-2.40
WBGene00227613	-4.00
WBGene00227618	4.35
WBGene00227621	9.15
WBGene00227622	-2.69
WBGene00227623	-3.30
WBGene00227624	-3.49
WBGene00227626	9.52
WBGene00227627	8.03
WBGene00227628	1.43
WBGene00227629	1.62
WBGene00227631	-3.54
WBGene00227633	4.21
WBGene00227634	-1.08
WBGene00227638	10.57
WBGene00227639	-2.07
WBGene00227641	3.07
WBGene00227644	5.13
WBGene00227645	-4.59
WBGene00227646	2.13
WBGene00227648	1.27
WBGene00227649	6.92
WBGene00227652	9.48
WBGene00227655	-2.60
WBGene00227658	-6.16
WBGene00227659	7.83
WBGene00227660	2.08
WBGene00227661	1.38
WBGene00227662	-2.46
WBGene00227664	-2.77
WBGene00227666	0.80
WBGene00227667	0.99
WBGene00227668	-2.55
WBGene00227669	-6.29
WBGene00227670	-0.88
WBGene00227671	-1.13
WBGene00227672	4.24
WBGene00227673	-1.39
WBGene00227677	1.17
WBGene00227679	3.72
WBGene00227680	1.34
WBGene00227681	-1.86
WBGene00227684	-1.00
WBGene00227685	5.58
WBGene00227686	-1.75
WBGene00227690	-1.87
WBGene00227691	-4.16
WBGene00227693	4.19
WBGene00227694	-2.56
WBGene00227696	1.18
WBGene00227697	-0.69
WBGene00227698	-1.37
WBGene00227699	5.97
WBGene00227700	3.63
WBGene00227702	2.11
WBGene00227703	1.26
WBGene00227705	7.07
WBGene00227706	1.15
WBGene00227707	-2.26
WBGene00227708	1.74
WBGene00227709	-1.39
WBGene00227710	-3.89
WBGene00227711	1.15
WBGene00227714	5.28
WBGene00227715	-11.19
WBGene00227716	4.81
WBGene00227718	1.04
WBGene00227720	1.44
WBGene00227722	-2.47
WBGene00227724	-3.41
WBGene00227725	-3.84
WBGene00227727	-1.85
WBGene00227728	-6.29
WBGene00227729	8.30
WBGene00227730	5.62
WBGene00227732	-1.86
WBGene00227733	3.89
WBGene00227734	-1.07
WBGene00227735	0.73
WBGene00227736	-6.89
WBGene00227738	-1.97
WBGene00227739	1.02
WBGene00227740	-2.21
WBGene00227741	-0.78
WBGene00227742	-7.10
WBGene00227743	-3.33
WBGene00227744	-3.28
WBGene00227748	-4.60
WBGene00227750	8.09
WBGene00227751	-2.85
WBGene00227752	1.93
WBGene00227754	3.65
WBGene00227755	-2.48
WBGene00227756	-3.40
WBGene00227757	2.42
WBGene00227758	-1.48
WBGene00227759	-0.93
WBGene00227763	2.18
WBGene00227765	1.50
WBGene00227769	5.71
WBGene00227770	0.84
WBGene00227771	3.00
WBGene00227773	2.65
WBGene00227774	6.85
WBGene00227775	5.38
WBGene00227777	7.45
WBGene00227780	-6.15
WBGene00227781	7.55
WBGene00227782	2.67
WBGene00227783	4.84
WBGene00227784	1.92
WBGene00227787	5.74
WBGene00227788	1.78
WBGene00227789	-2.41
WBGene00227790	-3.61
WBGene00227791	7.09
WBGene00227793	6.92
WBGene00227795	8.03
WBGene00227800	2.84
WBGene00227801	6.86
WBGene00227803	2.76
WBGene00227804	2.64
WBGene00227805	3.05
WBGene00227808	-5.71
WBGene00227809	-3.32
WBGene00227812	7.73
WBGene00227814	6.38
WBGene00227816	6.69
WBGene00227818	-2.87
WBGene00227819	1.37
WBGene00227820	3.45
WBGene00227821	3.09
WBGene00227822	4.06
WBGene00227824	1.55
WBGene00227825	2.64
WBGene00227826	-1.94
