# Differential expression analysis for study ERP0009481 contrast  across:biosourceprovider. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !L3 vs L3 (GA sample): L3 (GA sample) - low replicates (1). L3 - low replicates (1)
	!L3 vs L3 (GA sample)
WBGene00222736	5.62
WBGene00222739	7.61
WBGene00222740	-2.59
WBGene00222743	3.56
WBGene00222744	1.67
WBGene00222745	-3.05
WBGene00222748	3.83
WBGene00222749	4.44
WBGene00222750	5.39
WBGene00222751	-9.18
WBGene00222753	8.27
WBGene00222754	3.55
WBGene00222755	2.09
WBGene00222756	1.58
WBGene00222757	-1.97
WBGene00222758	7.91
WBGene00222759	-1.10
WBGene00222761	4.33
WBGene00222763	2.34
WBGene00222764	-1.55
WBGene00222765	2.44
WBGene00222766	-2.43
WBGene00222767	-6.31
WBGene00222768	-2.66
WBGene00222769	-1.09
WBGene00222771	6.87
WBGene00222772	8.48
WBGene00222773	2.79
WBGene00222774	-1.92
WBGene00222775	-2.02
WBGene00222776	5.36
WBGene00222777	0.97
WBGene00222778	-1.34
WBGene00222779	-1.97
WBGene00222780	5.04
WBGene00222782	7.48
WBGene00222784	-1.65
WBGene00222785	-3.37
WBGene00222787	9.24
WBGene00222788	6.39
WBGene00222789	1.19
WBGene00222791	7.61
WBGene00222792	1.54
WBGene00222793	5.62
WBGene00222794	2.43
WBGene00222795	1.56
WBGene00222797	-5.72
WBGene00222798	2.83
WBGene00222801	-1.14
WBGene00222802	-3.88
WBGene00222803	1.77
WBGene00222804	7.90
WBGene00222805	-2.26
WBGene00222806	4.35
WBGene00222812	5.35
WBGene00222813	3.90
WBGene00222816	-4.78
WBGene00222820	-4.85
WBGene00222821	3.95
WBGene00222822	0.98
WBGene00222823	3.39
WBGene00222824	2.62
WBGene00222826	2.86
WBGene00222827	2.47
WBGene00222829	-5.15
WBGene00222831	-10.74
WBGene00222832	-1.75
WBGene00222833	7.20
WBGene00222834	4.85
WBGene00222835	0.76
WBGene00222837	7.27
WBGene00222838	2.45
WBGene00222839	8.45
WBGene00222840	-1.64
WBGene00222842	0.95
WBGene00222844	-1.37
WBGene00222846	-0.66
WBGene00222849	-1.27
WBGene00222850	2.06
WBGene00222853	1.09
WBGene00222854	-2.57
WBGene00222855	-3.40
WBGene00222857	5.37
WBGene00222858	-1.71
WBGene00222861	6.27
WBGene00222862	4.95
WBGene00222864	3.27
WBGene00222866	6.57
WBGene00222867	-2.77
WBGene00222870	5.98
WBGene00222871	8.48
WBGene00222872	1.38
WBGene00222873	1.64
WBGene00222875	3.21
WBGene00222876	-11.78
WBGene00222877	2.09
WBGene00222878	-2.10
WBGene00222879	-5.36
WBGene00222882	6.59
WBGene00222883	4.15
WBGene00222884	4.42
WBGene00222886	-1.64
WBGene00222888	-4.94
WBGene00222890	-2.52
WBGene00222891	2.36
WBGene00222893	8.13
WBGene00222894	0.72
WBGene00222895	6.47
WBGene00222896	1.89
WBGene00222897	-2.76
WBGene00222904	7.79
WBGene00222906	-2.69
WBGene00222907	8.51
WBGene00222908	-2.77
WBGene00222909	4.75
WBGene00222910	-0.69
WBGene00222912	-9.46
WBGene00222913	-4.30
WBGene00222915	-4.16
WBGene00222916	5.74
WBGene00222917	-2.16
WBGene00222918	-1.81
WBGene00222919	3.84
WBGene00222920	-2.25
WBGene00222921	8.36
WBGene00222922	1.56
WBGene00222924	-4.11
WBGene00222925	-4.60
WBGene00222926	-2.41
WBGene00222927	3.67
WBGene00222928	-4.22
WBGene00222932	-3.26
WBGene00222934	4.58
WBGene00222935	2.14
WBGene00222936	-1.16
WBGene00222940	-4.30
WBGene00222941	-5.03
WBGene00222943	-6.60
WBGene00222945	2.86
WBGene00222946	-1.00
WBGene00222947	-3.09
WBGene00222948	-2.08
WBGene00222949	4.29
WBGene00222950	5.21
WBGene00222951	2.29
WBGene00222952	-2.15
WBGene00222954	2.90
WBGene00222955	4.72
WBGene00222956	-1.99
WBGene00222957	-1.58
WBGene00222958	-1.81
WBGene00222959	2.20
WBGene00222961	2.35
WBGene00222963	-1.32
WBGene00222964	6.14
WBGene00222965	0.55
WBGene00222966	6.51
WBGene00222967	6.22
WBGene00222969	9.51
WBGene00222970	-1.11
WBGene00222971	5.28
WBGene00222973	0.67
WBGene00222974	2.45
WBGene00222975	-4.46
WBGene00222976	3.05
WBGene00222978	5.63
WBGene00222980	1.62
WBGene00222981	2.13
WBGene00222982	3.93
WBGene00222983	1.55
