Run	Sample	Condition	developmental_stage	sex	strain	organism_part
SRR2015488	SRS932482		late cleavage stage embryo Ce	hermaphrodite	N2	organism
SRR2015489	SRS932483		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015490	SRS932483		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015491	SRS932484		elongating embryo Ce	hermaphrodite	N2	organism
SRR2015492	SRS932484		elongating embryo Ce	hermaphrodite	N2	organism
SRR2039609	SRS945157		proliferating embryo Ce	hermaphrodite	BY300	dopaminergic neuron
SRR2039610	SRS945157		proliferating embryo Ce	hermaphrodite	BY300	dopaminergic neuron
SRR2039611	SRS945158		fully-elongated embryo Ce	hermaphrodite	DM8001	hypodermis
SRR2039617	SRS945160		fully-elongated embryo Ce	hermaphrodite	DM8001	hypodermis
SRR2039618	SRS945160		fully-elongated embryo Ce	hermaphrodite	DM8001	hypodermis
SRR2039619	SRS945160		fully-elongated embryo Ce	hermaphrodite	DM8001	hypodermis
SRR2039620	SRS945160		fully-elongated embryo Ce	hermaphrodite	DM8001	hypodermis
SRR2043246	SRS947949		proliferating embryo Ce	hermaphrodite	SS747	germline precursor cell
SRR2043247	SRS947949		proliferating embryo Ce	hermaphrodite	SS747	germline precursor cell
SRR2043248	SRS947949		proliferating embryo Ce	hermaphrodite	SS747	germline precursor cell
SRR2043249	SRS947949		proliferating embryo Ce	hermaphrodite	SS747	germline precursor cell
SRR2043250	SRS947950		proliferating embryo Ce	hermaphrodite	MT17370	BAG
SRR2043254	SRS947951		fully-elongated embryo Ce	hermaphrodite	NC2015	PVC
SRR2043255	SRS947951		fully-elongated embryo Ce	hermaphrodite	NC2015	PVC
SRR2043256	SRS947951		fully-elongated embryo Ce	hermaphrodite	NC2015	PVC
SRR2043257	SRS947951		fully-elongated embryo Ce	hermaphrodite	NC2015	PVC
SRR2043258	SRS947952		proliferating embryo Ce	hermaphrodite	SS747	germline precursor cell
SRR2043259	SRS947952		proliferating embryo Ce	hermaphrodite	SS747	germline precursor cell
SRR2043260	SRS947952		proliferating embryo Ce	hermaphrodite	SS747	germline precursor cell
SRR2043261	SRS947952		proliferating embryo Ce	hermaphrodite	SS747	germline precursor cell
SRR2043262	SRS947953		proliferating embryo Ce	hermaphrodite	MT17370	BAG
SRR2043272	SRS947955		fully-elongated embryo Ce	hermaphrodite	NC2015	PVC
SRR2043273	SRS947955		fully-elongated embryo Ce	hermaphrodite	NC2015	PVC
SRR2043274	SRS947955		fully-elongated embryo Ce	hermaphrodite	NC2015	PVC
SRR2043275	SRS947955		fully-elongated embryo Ce	hermaphrodite	NC2015	PVC
SRR2043337	SRS948018		L4 larva Ce	hermaphrodite	NC1924	gland cell
SRR2043471	SRS948018		L4 larva Ce	hermaphrodite	NC1924	gland cell
SRR2043338	SRS948019		fully-elongated embryo Ce	hermaphrodite	NC1750	AVE
SRR2043339	SRS948019		fully-elongated embryo Ce	hermaphrodite	NC1750	AVE
SRR2043340	SRS948019		fully-elongated embryo Ce	hermaphrodite	NC1750	AVE
SRR2043341	SRS948019		fully-elongated embryo Ce	hermaphrodite	NC1750	AVE
SRR2043342	SRS948020		L4 larva Ce	hermaphrodite	NC1924	gland cell
SRR2043343	SRS948020		L4 larva Ce	hermaphrodite	NC1924	gland cell
SRR2043345	SRS948021		fully-elongated embryo Ce	hermaphrodite	NC1750	AVE
SRR2043346	SRS948021		fully-elongated embryo Ce	hermaphrodite	NC1750	AVE
SRR2043347	SRS948021		fully-elongated embryo Ce	hermaphrodite	NC1750	AVE
SRR2043348	SRS948021		fully-elongated embryo Ce	hermaphrodite	NC1750	AVE
SRR2043368	SRS948034		proliferating embryo Ce	hermaphrodite	GD74	gland cell
SRR2043369	SRS948034		proliferating embryo Ce	hermaphrodite	GD74	gland cell
