# Gene expression in TPM for each run in  study SRP066611
	SRR2954987	SRR2954988	SRR2954989	SRR2954990	SRR2954991	SRR2954992	SRR2954999	SRR2955000	SRR2955001	SRR2954996	SRR2954997	SRR2954998	SRR2955005	SRR2955006	SRR2954993	SRR2954994	SRR2954995	SRR2955002	SRR2955003	SRR2955004
WBGene00223109	211.5	139.47	123.62	65.57	72.85	130.13	79.83	83.06	77	50.61	72.77	56.52	44.81	44.97	107.84	64.68	63.28	44.46	28.49	49.01
WBGene00223110	125.43	176.86	106.24	119.75	110.08	117.39	110.04	124.67	77.49	58.4	160.04	159.61	109.79	86.52	128.46	111.34	30.22	92.34	88.43	97.68
WBGene00223111	73.87	100.43	65.9	79.29	87.96	86.71	73.69	76.67	63.51	28.21	73.31	105.75	84.27	79.36	88.9	70.7	31.19	74.33	100.02	87.4
WBGene00223112	258.3	300.04	197.98	331.31	320.84	329.24	181.13	313.18	232.67	227.14	364.59	288.82	284.04	261.39	309.44	334.64	189.69	264.46	249.43	282.58
WBGene00223113	33.76	40.17	36.42	46.83	41.14	41.14	37.93	26.6	26.22	18.04	38.86	57.38	29.62	22.29	44.56	28.78	11.26	41.99	28.25	44.55
WBGene00223114	1462.93	1427.77	1397.16	1304.64	1474.2	1613.05	1777.43	2043.78	1920.19	1703.9	1859.43	1317.32	1728.54	2097.85	1641.54	1466.24	1580.32	1807.28	2048.04	1874.38
WBGene00223115	165.03	142.27	148.57	161.35	175.43	139.81	221.51	208.73	272.84	44.38	112.54	152.18	107.9	171.59	220.18	89.6	44.85	66.5	243.41	96.47
WBGene00223116	420.44	585.45	430.75	412.03	454.87	434.67	447.2	640.11	495.9	561.06	546.87	490.15	661.35	462.03	473.05	471.86	401.64	551.18	478.27	555.49
WBGene00223117	30.96	29.52	43.08	42.55	68.12	48.37	50.66	22.19	27.98	16.06	53.84	34.52	29.93	26.7	38.42	47.85	18.21	33.94	30.45	47.14
WBGene00223118	11.56	9.01	11.7	14.44	22.02	8.21	18.1	7.53	21.23	17.21	24.36	29.29	32.5	28.99	16.3	10.83	17.65	18.43	24.8	7.11
WBGene00223119	18.71	12.48	17.35	5.29	11.76	14.61	25.77	10.06	7.95	8.17	14.46	20.85	10.85	16.13	17.41	16.06	9.43	8.2	11.04	9.49
WBGene00223120	90.71	97.79	106.17	133.55	106.35	126.53	91.13	94.81	90.12	44.8	108.5	144.46	106.46	65.18	115.56	140.93	27.21	106.52	95.57	91.34
WBGene00223121	183.3	198.73	218.59	193.34	185.7	202.58	187.31	178.66	184.69	71.48	171.24	277.88	218.05	204.94	164	162.56	30.45	200.9	225.79	212.96
WBGene00223122	11.98	19.28	13.11	13.02	8.23	10.74	14.88	11.26	9.19	4.07	12.14	18.61	9.87	9.48	10.36	12.81	1.98	16.36	4.63	16.61
WBGene00223123	50.08	66.68	38.39	106.06	78.05	71.13	78.41	60.82	69.52	49.26	119.96	106.13	110.41	97.07	86.02	89.55	30.6	88.92	92.79	84.02
WBGene00223124	148.63	93.51	132.35	126.15	130.8	104.49	81.91	85.23	127.99	202.86	149.33	115.99	114.93	61.52	119.87	102.09	264.68	97.75	87.69	45.26
WBGene00223125	16.1	17.91	33.19	36.15	26.24	20.96	30.81	32.06	32.33	12.7	24.2	64.82	20.75	3.08	19.42	30.72	15.03	35.29	24.63	15.13
WBGene00223126	90.32	105.92	105.42	99.66	112.69	85.21	117.09	92.74	92.24	45.43	101.96	98.99	111.82	77	100.72	76.67	32.39	77.86	75.84	84.11
WBGene00223127	37.49	48.63	41.05	52.66	77.27	57.61	50.81	72.69	52.93	24.16	64.13	65.09	49.9	46.64	55.29	50.66	16.52	67.37	74.94	70.7
WBGene00223128	30.09	27.67	45.04	34.56	22.12	28.86	21.82	22.7	18.52	3.46	8.16	41.19	16.33	20.02	18.01	18.13	8.87	20.83	29.06	39.29
WBGene00223129	9.56	11.92	10.91	22.59	9.24	25.85	7.6	21.08	14.07	18.87	15.63	20.49	14.21	11.41	6.84	16.41	9.88	16.12	8.68	19.9
WBGene00223130	6.65	5.15	16.97	11.76	12.2	19.49	14.32	17.88	9.28	1.36	6.43	23.18	3.22	7.17	9.03	12.85	0	10.94	8.18	8.44
WBGene00223131	2.28	4.35	8.46	2.77	0	0	3.93	4.09	2.43	3.74	8.82	0	4.41	7.87	0	3.92	11.5	10	0	3.86
WBGene00223132	177.43	142.38	232.69	169.43	176.37	186.94	176.22	141.96	157.04	42.35	108.42	206.99	82.95	150.85	168.94	133.2	47.14	195.37	204.49	145.18
WBGene00223133	14.64	13.06	10.51	33.98	25.73	29.52	24.4	23.7	20.09	7.74	20.08	23.69	20.09	19.55	24.91	19.47	3.17	35.2	20.44	14.38
WBGene00223134	30.76	25.8	22.82	42.76	41.24	19.22	42.37	52.91	47.08	25.52	23.77	54.86	9.51	59.4	49.61	54.92	20.67	26.97	38.71	33.3
WBGene00223135	1854.49	1704.2	1499.24	1442.58	1683.65	1617.64	1576.12	1681.64	1687.05	968.79	1645.44	1513.14	1694.23	1883.21	1503.6	1558.23	919.92	1775.02	1876.14	1792.23
WBGene00223136	19.28	31.36	33.67	36.67	4.75	31.01	23.44	36.58	24.12	43.35	52.6	50.58	26.31	19.56	35.18	42.85	49.54	29.84	22.31	80.59
WBGene00223137	35.19	34.17	38.69	36.88	40.97	35.64	33.67	18.68	29.1	10.67	12.59	32.69	22.68	29.22	40.43	13.43	4.38	17.14	28.2	28.66
WBGene00223138	537.19	448.94	468.68	527.41	657.87	536.5	625.19	474.69	531.98	692.32	473.94	471.71	478.91	592.2	578.24	572.83	782.96	392.53	511.34	473.03
WBGene00223139	169.14	184.27	159.69	120.85	139.23	141.56	119.64	173.19	126.03	99.76	175.07	172.57	116.77	135.42	163.95	108.91	58.35	122.49	103.95	148.17
WBGene00223140	18.07	19.38	22.35	24.35	22.09	32.35	15.56	21.59	17.61	15.62	20.37	37.77	23.29	31.16	30.36	41.37	10.12	29.71	11.85	33.12
WBGene00223141	3.59	2.57	3.33	6.53	7.52	14.02	6.18	6.43	0.95	0	0	0	0	0	8.35	3.08	3.02	3.93	10.59	0
WBGene00223142	4.01	8.93	11.58	7.21	7.48	10.45	10.75	15.98	6.16	5.84	5.17	17.4	0	10.77	15.22	1.53	4.5	17.6	5.26	10.56
WBGene00223143	37.83	63.93	70.18	50.04	86.48	40.3	47.38	24.65	36.56	28.16	59.81	67.1	46.54	17.79	48.01	29.53	23.11	45.24	20.29	58.18
WBGene00223144	0	0.4	0	0.68	0	0	0	4.51	0	0.92	0	0	0	0	0	0	0	1.84	1.65	0
WBGene00223145	0	5.33	6.92	3.01	0	0	0	0	1.98	0	7.2	0	0	0	0	0	0	0	0	0
WBGene00223146	71.53	66.82	56.61	60.13	59.95	61.46	54.2	56.39	57.28	25.51	71.86	74.42	53.46	50.98	72.47	63.87	24.03	60.63	52.51	72.6
WBGene00223147	36.37	42.75	34.48	33.64	32.17	42.61	41.75	30.41	21.91	15	35.91	63.06	32.81	23.69	33.84	38.85	10.86	26.57	57.21	32.81
WBGene00223148	53.01	94.04	37.64	49.61	47.83	55.47	47.17	41.81	24.54	18.28	48.02	55.13	45.1	15.74	35.4	40.94	5.11	38.92	23.94	48.05
WBGene00223149	10.04	6.96	20.32	20.66	30.6	10.7	9.43	19.63	16.5	11.96	14.11	10.18	3.53	6.3	16.99	15.67	12.27	20.01	21.54	6.18
WBGene00223150	1.79	2.32	3.62	5.65	5.45	1.27	4.48	4.07	3.28	1.77	6.9	6.34	6.28	1.68	4.03	2.79	2.18	4.27	3.83	6.04
WBGene00223152	68.12	78.5	84.87	81.77	59.65	75.45	64.78	69.23	78.91	60.5	92.33	68.01	66.82	84.16	64.65	76.82	54.66	75.78	61.98	63.64
WBGene00223153	28.32	34.49	38.91	27.13	24.17	28.67	21.67	31.95	26.76	12.6	26.34	35.07	32.44	16.28	14.64	12.61	10.57	22.99	18.56	26.61
WBGene00223154	64.6	101.36	101.23	91.13	92.48	47.01	76.01	57.52	52.47	25.41	68.22	105.11	48.09	19.37	64.72	38.58	9.44	70.36	71.02	84.16
WBGene00223155	30.37	29.72	36.05	39.27	33.93	33.21	30.68	33.37	36.16	19.45	35.99	42.88	23.48	26.53	42.7	25.03	6.8	31.95	15.93	34.25
WBGene00223156	1.66	2.76	1.54	2.34	1.73	1.62	0	2.97	2.64	0	4.8	4.61	0	1.43	2.57	2.84	0	3.63	1.63	0
WBGene00223157	35.09	43.2	35.25	38.4	24.5	34.26	27.69	18.34	20.98	11.97	39.54	32.59	36.74	22.69	22.67	12.55	4.91	32.05	51.75	37.09
WBGene00223158	109.04	94.71	80.91	112.63	137.09	42.59	95.98	78.16	106.91	136.26	135.78	54.03	70.26	79.4	86.44	95.7	183.19	63.74	85.78	122.97
WBGene00223159	78.27	111.92	121	94.9	71.07	61.14	58.41	84.15	66.57	39.88	100.82	189.05	85.74	62.99	64.74	89.6	17.53	114.38	56.44	101.51
WBGene00223160	17.12	28.42	23	18.85	17.32	18.45	27.45	14.81	7.53	5.8	11.41	29.62	7.99	3.05	6.41	9.12	1.98	10.35	10.45	13.98
WBGene00223161	6.41	9.78	8.33	14.25	9.4	9.39	13.25	10.91	8.69	4.55	9.91	8.93	14.87	7.19	10.44	6.61	0.54	9.84	11.35	16.81
WBGene00223162	32.02	39.45	60.84	24.62	22.91	27.45	21.52	19.59	14.94	17.91	36.21	30.47	36.23	26.93	29.07	29.5	10.5	17.12	12.29	29.06
WBGene00223163	18.82	39.02	21.02	35.45	31.4	17.84	32.1	26.85	16.71	9.98	26.83	33.61	26.14	5.67	16.44	21.34	9.21	27.24	23	30.29
WBGene00223164	79.13	72.79	77.26	46.01	34.91	59.64	57.38	29.85	20.66	37.89	16.09	23.22	37.57	19.15	43.06	33.37	55.97	12.17	16.38	0
WBGene00223165	1154.57	959.74	1064.18	1110.07	1171.65	1080.67	1037.82	1220.01	1122.71	1611.75	1175.57	977.05	1159.35	1319.02	1226.69	1154.2	2034.57	1149.56	1207.94	1024.33
WBGene00223166	16.73	12.57	15.05	21.31	29.75	13.86	33.18	14.54	15.63	5.54	21.55	11.31	21.56	12.24	14.16	20.9	8.52	8.89	13.96	18.87
WBGene00223168	0.69	1.31	10.2	1.11	0	0	0	2.46	0	1.5	0	0	0	0	0	2.36	0	0	0	2.32
WBGene00223169	6.55	8.33	16.21	16.78	13.73	4.27	22.58	13.7	15.1	4.17	10.55	21.31	16.89	7.54	6.78	9.38	3.67	26.34	12.89	24.02
WBGene00223170	1.08	1.03	0	2.62	0	4.21	0	3.87	0	1.18	0	6.02	0	0	6.69	0	0	4.73	0	0
WBGene00223171	2.72	0.65	5.05	2.75	0	0	4.68	4.87	2.17	0.74	0	11.37	0	0	2.11	0	4.57	0	2.67	4.6
WBGene00223172	11.79	18.08	14.26	17.61	29	11.01	13.24	19.29	16.08	9.51	19.81	18.57	16.85	13.26	12.72	9.68	4.31	14.61	20.16	23.41
WBGene00223173	37.17	39.3	34.47	31.92	21.9	29.49	46	43.7	32.72	11.41	33.66	32.37	24.7	18.03	18.01	25.93	13.66	25.46	41.11	37.33
WBGene00223174	53.09	69.8	47.65	56.24	58.64	50.91	43.57	48.77	40.75	13.81	54.07	85.47	53.35	28.43	44.59	44.76	8.37	44.54	52.02	43.45
WBGene00223175	4.19	3.55	3.46	7.15	5.86	7.28	12.83	3.34	2.48	2.03	3.6	12.98	3.6	3.21	1.44	3.2	0	2.04	3.66	3.15
WBGene00223176	237.76	240.72	210.94	245.9	266.1	219.17	231.42	272.55	281.8	188.65	328.12	209.9	288.32	211.37	242.77	245.97	131.49	216.89	258.47	237.32
WBGene00223177	47.65	49.5	70.26	69.13	51.2	59.65	54.71	41.6	53.9	23.34	54.29	74.91	42.51	44.25	56.85	75.53	26.68	56.24	43.25	57.87
WBGene00223178	47.35	51.63	53.59	45.08	55.49	67.38	62.19	47.45	40.95	20.15	46.51	51.44	32.58	42.9	51.03	50.98	5.39	51.01	37.88	61.09
WBGene00223179	320.2	255.17	194.85	268.41	248.49	324.23	315.1	236.79	327.8	516.09	314.24	198.31	379.9	333.06	283.77	331.64	552.16	274.82	279.87	275.12
WBGene00223180	3.86	3.94	4.09	5.79	9.24	6.46	3.8	9.88	10.26	3.31	2.13	4.61	9.59	5.7	6.84	6.63	0.93	8.46	14.09	5.6
WBGene00223181	19.64	18.73	8.57	17.75	14.53	18.05	19.9	12.42	14.74	8.83	17.86	12.88	26.81	19.93	39.43	15.87	15.53	30.4	9.09	11.73
WBGene00223182	133.28	103.59	125.52	89.5	90.22	84.09	67.09	62.46	89.37	110.82	114.89	74.29	71.34	91.93	95.4	95.06	148.12	62.93	56.45	69.37
WBGene00223184	2.82	0	0	3.03	0	0	0	3.36	1	2.05	0	0	0	3.24	0	3.22	6.31	0	3.69	0
WBGene00223185	2.21	2.88	3.73	3.74	4.22	0.79	4.16	2.88	2.78	1.1	4.67	4.49	1.56	0.69	1.25	0.69	0.68	2.65	3.17	4.08
WBGene00223186	5.89	7.21	3.12	17.67	10.57	9.85	14.48	12.05	7.15	25.71	6.5	14.06	19.51	8.7	18.26	14.44	45.2	7.37	26.46	11.38
WBGene00223187	23.55	33.42	20.85	30.29	23.55	25.09	13.83	27.81	16.5	6.43	28.96	23.87	22.76	12.92	9.13	15.62	4.5	22.29	17.89	19.01
WBGene00223188	46.71	70.53	70.9	87	74.6	63.15	69.76	70.82	48.79	24.25	58.06	115.62	39.78	26.48	72.95	48.24	7.13	73.04	51.39	82.33
WBGene00223189	75.43	99.21	31.88	51.52	63.02	45.68	51.8	47.05	28.93	26.32	72.87	74.51	49.83	27.17	55.53	51.65	16.04	37.67	35.68	42.8
WBGene00223190	1.97	2.81	3.13	4.77	1.18	2.74	5.8	4.03	3.28	2.3	4.88	8.61	3.26	1.45	4.36	2.41	1.89	6.16	2.21	5.23
WBGene00223191	4.54	2.89	0	2.45	0	5.92	5.22	0	1.61	1.65	0	0	5.86	0	0	0	10.18	0	0	0
WBGene00223192	0	0	0	0	0	0	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0
WBGene00223193	31.02	36.97	80.57	52.04	84.51	51.5	45.41	55.59	53.6	35.57	53.95	64.85	41.98	50.83	76.98	77.25	28.67	68.01	79.32	44.61
WBGene00223194	4.44	4.23	3.66	4.39	2.07	1.93	6.8	0	3.67	4.31	5.72	8.25	3.82	5.11	9.19	3.39	1.66	6.49	0	5.01
WBGene00223195	1.07	1.02	3.99	6.08	0	4.2	18.51	0	0	4.69	0	11.98	4.16	0	3.33	7.38	3.61	4.71	0	7.27
WBGene00223196	7.37	10.36	7.2	9.41	16.26	12.12	8.02	6.95	5.77	1.27	13.49	10.81	3	1.34	2.41	2.66	0	11.91	4.58	6.56
WBGene00223197	9.55	14.75	9.77	8.78	9.66	3.86	7.94	5.9	5.95	1.08	1.27	11.01	5.09	1.14	5.11	3.39	2.21	10.1	3.88	11.14
WBGene00223198	16.85	29.21	28.42	14.86	6.42	23.93	10.55	21.96	13.03	15.05	17.76	8.54	23.69	10.57	9.5	10.52	5.15	0	24.1	15.55
WBGene00223199	21.27	31.09	42.08	22.92	20.8	13.84	26.86	22.86	18.84	4.64	24.65	15.81	19.19	12.22	8.8	14.61	4.76	18.65	11.15	23.98
WBGene00223202	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95	0	0	0
WBGene00223203	14.38	17.62	22.87	17.85	4.3	20.06	12.38	16.56	15.29	7.29	13.89	14.31	17.87	3.54	9.56	28.22	10.35	20.26	10.1	15.64
WBGene00223204	19.88	20.98	18.44	18.07	10.41	9.7	20.78	16.54	20.75	7.36	15.09	21.76	23.33	13.47	13.21	15.85	3.58	18.67	6.98	21.61
WBGene00223206	22.28	47.51	37.82	39.67	33.23	26.54	24.71	28.41	16.86	10.72	27.72	25.25	24.81	16.93	29.28	18.15	11.42	14.9	23.76	22.99
WBGene00223207	120.08	155.4	149.34	71.58	89.96	73.36	73.94	69.72	57.77	38.09	98.51	86	70.03	64.78	81.15	76.03	27.05	64.71	89.71	63.55
WBGene00223208	240.64	227.62	216.33	172.07	151.26	216.89	111.57	155.89	186.95	125.31	160.94	165.08	196.8	130.87	180.86	171.64	133.72	194.77	109.21	153.43
WBGene00223209	47.99	64.99	33.16	53.78	43	33.61	59.28	47.45	37.65	16.62	35.81	59.04	52.47	28.54	35.93	37.51	12.23	43.53	40.36	63.83
WBGene00223210	24.15	20.93	50.51	34.08	16.56	24.01	28.74	26.75	22.88	11.99	25.45	39.16	8.49	19.69	17.71	16.59	7.38	34.65	22.45	28.23
WBGene00223211	4.82	2.3	7.15	8.18	10.1	5.65	6.64	8.64	7.69	4.21	5.59	18.81	7.45	4.99	10.47	9.93	1.62	4.23	7.58	4.89
WBGene00223212	91.98	102.88	54.6	84.27	82.23	62.27	50.69	65.93	74.32	20.09	37.91	54.69	71.13	33.84	57.06	63.18	20.6	64.52	77.18	62.24
WBGene00223213	121.16	149.26	143.5	90.4	105.45	87.36	64.2	113.56	76.29	39.18	81.03	103.9	81.07	90	59.26	113.63	29.75	89.89	76.98	113.51
WBGene00223214	91.14	88.84	145.19	130.69	118.68	128.71	156.07	155	136.85	34.29	97.5	157.86	125.42	134.97	122.98	123.78	24.22	146.74	125.57	165.49
WBGene00223215	8.99	18.04	12.29	14.15	11.9	16.63	17.93	25.44	13.08	4.13	23.77	18.46	3.66	6.53	2.94	9.75	3.18	18.67	18.61	25.61
WBGene00223216	29.18	30.17	40.36	27.58	14.51	36.7	25.55	24.81	28.39	9.72	21.02	41.35	22.94	17.06	39.88	23.78	9.97	32.52	17.51	33.46
WBGene00223217	197.8	179.36	178.99	169.64	166.79	141.32	141.24	142.64	137.2	230.46	172.45	80.67	144.55	166.39	115.97	190.54	239.1	116.33	94.88	163.22
WBGene00223218	149.61	184.91	72.73	90.91	95.13	145.08	120.83	181.19	144.79	122.8	131.58	69.02	135.63	135.23	99.21	134.65	107.47	208.09	198.86	143.12
WBGene00223219	0.53	0.5	3.9	4.25	0	6.16	1.81	5.65	2.24	1.15	2.03	0	2.03	1.81	1.63	0	1.77	2.3	2.07	0
WBGene00223220	25.47	18.84	32.58	33.01	23.92	34.3	25.71	22.03	20.54	14.86	15.27	26.92	20.37	21.2	16.34	16.59	8.85	25.03	13.82	16.34
WBGene00223221	50.89	61.48	71.04	53.76	54.9	39.36	41.65	45.14	53.57	12.65	50.62	67.41	44.81	36.49	50.01	51.91	8.47	55.23	45.58	39.21
WBGene00223222	200.72	200.6	198.19	138.7	101.75	164.38	105.93	92.82	101.53	143.16	150.12	90.23	106.39	145.15	135.57	138.98	135.97	63.87	140.07	87.62
WBGene00223224	117.97	240.97	171.94	236.34	88.28	108.6	124.8	190.24	87.79	83.72	208.39	150.3	156.37	75.56	117.61	193.88	53.79	144.08	135.88	94.08
WBGene00223225	431.86	343.81	303.72	301.13	248.59	333.64	302.39	267.87	383.44	364.01	275.08	277.75	252.28	343.72	276	313.74	394.65	280.88	270.66	305.06
WBGene00223226	13.33	13.72	13.85	21.11	24.57	12.49	5.51	5.73	8.5	15.72	10.3	5.94	14.43	5.52	21.5	18.31	10.75	4.67	8.39	9.02
WBGene00223229	30.38	36.2	33.31	41.31	54.98	32.36	35.68	24.75	48.45	12.06	40.03	34.64	34.71	30.96	36.41	45.06	16.24	36.33	21.73	42.05
WBGene00223230	10.03	10.4	14.57	15.87	9.14	17.04	13.52	9.38	9.28	8.1	10.11	4.86	10.12	15.05	17.59	13.48	4.4	3.83	12.01	13.28
WBGene00223231	158.17	182.61	179.31	165.5	220.95	157.88	172.52	135.41	209.26	53.73	135.83	186.13	210.64	197	193.52	193.14	44.29	238.86	183.18	178.38
WBGene00223232	69.89	78.4	75.85	99.53	85.67	89.13	116.26	95.41	83.39	47.24	97.37	108.65	77.2	62.31	100.28	88.17	51.12	83.37	86.02	70.77
WBGene00223233	507.07	476.42	513.78	546.22	541.05	618.13	505.66	429.11	497.01	289.9	543.18	383.05	535.39	632.03	665.3	575.7	279.87	543.22	536.49	521.35
WBGene00223237	34.87	51.87	35.06	25.29	32.77	10.18	19.08	24.52	18.36	9.61	8.81	36.33	10.08	12.36	15.16	29.1	3.28	28.57	17.94	28.66
WBGene00223238	2.2	5.87	1.63	1.78	5.53	3.44	6.06	1.58	2.81	2.88	6.8	9.81	0	1.52	1.36	3.02	4.43	3.86	0	5.95
WBGene00223239	0.88	5.85	13.01	7.09	3.67	3.42	6.04	0	4.66	4.79	3.39	4.89	6.78	0	0	3.01	0	15.38	0	0
WBGene00223240	2.32	2.41	5.47	4.42	1.76	3.29	3.63	0.75	1.34	0.92	1.63	5.87	0.81	1.45	3.27	0.72	0.71	1.85	0	4.27
WBGene00223242	112.03	159.73	121.83	123.73	159.86	82.98	111.43	114.21	83.68	34.27	104.49	131.89	102.68	39.97	88.37	96.18	21.09	105.85	106.36	137.23
WBGene00223246	246.95	281.43	284.74	230.63	225.65	224.81	262.2	243.99	238.19	135.15	246.34	217.34	253.65	271.1	268.77	238.06	72.78	198.09	238.57	213.58
WBGene00223247	34.82	42.82	29.17	23.6	32.95	43.87	19.34	16.1	25.07	52.73	43.4	0	30.39	15.49	24.39	30.86	18.87	34.47	39.76	22.8
WBGene00223248	182.17	184.93	197.5	270.6	312.3	291.07	211.86	330.66	261.58	202.78	283.41	329.68	205.8	228.47	286.19	361.56	234.5	285.24	302.42	268.14
WBGene00223249	5.66	12.14	13.13	12.58	5.93	13.82	24.37	12.68	7.52	11.59	21.88	7.89	2.74	24.41	6.58	4.86	19.02	9.31	8.35	7.18
WBGene00223250	52.46	52.54	57.02	54.4	59.96	62.09	40.15	49.38	43.94	12.73	40.96	47.26	36.88	18.28	37.81	29.12	5.34	44.14	50.02	44.82
WBGene00223251	34.88	19.79	36.97	39.6	3.48	35.68	28.6	17.86	26.48	6.35	9.63	23.14	22.47	8.59	12.88	37.07	5.58	18.2	16.33	30.9
WBGene00223252	27.54	31.34	32.96	34.47	37.23	20.82	24.48	15.92	35.89	37.83	24.03	59.43	41.22	27.58	38.58	39.67	62.69	42.85	52.42	45.09
WBGene00223253	54.94	54.7	99.65	66.12	46.04	85.83	67.28	65.63	66.19	47.99	70.76	68.05	47.2	71.58	87.1	79.66	32.82	80.29	76.83	49.56
WBGene00223255	247.45	248.89	286.89	183.1	190.62	149.23	197.4	215.17	241.79	163.89	168.74	212.98	193.44	194.53	174.95	171.83	158.95	207.4	211.11	184.67
WBGene00223256	2.4	0	0	0	0	9.38	0	0	0	5.24	9.28	0	0	0	0	0	8.07	0	0	0
WBGene00223257	1.86	2.66	6.89	12.01	3.89	7.25	9.6	0	6.91	0	14.36	25.88	0	9.61	2.88	9.57	3.12	4.07	3.65	0
WBGene00223258	23.04	26.08	30.27	25.61	22.13	31.87	28.1	30.96	20.41	11.53	24.11	34.78	14.85	11.59	13.4	16.48	8.06	27.36	13.22	22.73
WBGene00223259	1781.05	1615.15	1846.48	1655.48	1634.51	1758.17	1954.91	1968.94	2120.84	2904.73	1879.97	1426.02	1886.31	2314.36	1877.6	1689.98	3273.95	2083.89	2419.39	2090.53
WBGene00223261	48.11	77.46	56.36	60.1	55.95	46.75	45.98	61.04	39.89	19.35	47.14	85.96	27.59	28.58	36.41	24.51	10.83	48.44	28.97	61.52
WBGene00223262	46.62	53.67	75.07	51.91	33.18	44.67	48.48	34.68	44.89	33.62	27.2	53.94	23.81	51.58	51.84	42.3	14.78	27	17.3	62.5
WBGene00223263	58.87	62.35	56.63	69.4	70.81	54.29	47.87	57.63	51.58	18.45	55.82	89.63	46.36	52.64	43.11	43.99	21.98	56.16	34.3	51.64
WBGene00223264	2.48	2.36	7.67	4.68	6.93	3.23	1.42	1.48	3.95	6.77	4.79	13.82	1.6	4.28	3.85	0	2.78	1.81	3.25	2.8
WBGene00223265	140.38	143.97	135.79	155.79	133.96	133.9	170.74	176	153.18	117.86	146.8	165.28	179.12	150.2	123.59	173.43	112.08	150.31	156.71	115.99
WBGene00223266	19.5	21.13	23.02	21.5	33.44	20.78	3.05	25.42	17.91	9.68	17.13	14.82	20.56	12.23	30.25	15.22	5.96	11.66	27.9	15
WBGene00223267	11.51	17.11	18.79	15.44	11.58	10.79	8.72	8.25	10.28	5.28	7.12	15.4	6.23	9.53	7.85	2.37	3.87	4.04	13.58	14.8
WBGene00223268	10.82	16.94	8.6	9.37	9.71	9.05	5.32	2.77	4.93	2.53	8.96	8.61	11.95	15.99	4.79	10.61	2.6	6.77	6.08	7.84
WBGene00223269	74.3	82.09	88.6	83.45	75.82	65.95	69.79	63.11	61.8	48.2	73.64	98.15	39.17	49.09	59.86	53.85	35.66	52.88	54.08	83.24
WBGene00223270	3.86	6.36	14.33	6.25	0	8.23	10.89	3.78	5.6	1.53	4.07	9.79	1.36	1.21	2.18	7.24	0	4.62	2.76	3.56
WBGene00223271	75.04	69.39	58.17	57.94	46.93	69.99	61.72	76.26	83.35	29.35	77.9	81.16	56.29	81.12	83.37	57.69	33.87	112.93	57.27	87.15
WBGene00223272	36.22	51.94	29.86	42.04	33.73	36.27	29.86	15.53	26.66	16.56	35.89	46.59	22.74	20.29	27.85	32.96	7.28	19	32.88	31.42
WBGene00223273	54.44	92.58	58.17	58.97	65.71	41.68	52.5	47.61	21.76	28.53	70.69	86.18	70.72	33.05	52.69	65.81	16.1	34.37	33.4	47.15
WBGene00223274	0.96	1.52	0	0.77	4.01	1.25	0	0	0.68	1.39	0	0	1.23	0	0	2.19	0	0	0	0
WBGene00223276	58.79	56.86	54.53	76.17	79.7	77.66	68.48	68.16	85.47	61.35	103.56	67.46	96.93	68.58	69.72	97.97	61	64.43	68	76.04
WBGene00223277	485.77	564.58	519.89	377.55	352.33	321.08	392.54	508.87	369.44	397.79	332.11	312.43	332.27	296.41	231.81	372.15	489.65	311.27	352.73	347.66
WBGene00223278	119.56	127.98	112.71	126.74	156.05	145.44	111.38	126.43	117.73	70.62	94.67	136.56	49.25	91.26	100.31	144.71	82.32	141.78	146.47	109.41
WBGene00223279	342.32	345.66	386.54	276.7	413.92	364.64	372.82	164.86	277.62	119.66	235.28	452.52	298.17	242.66	440.67	297.39	59.1	272.87	282.06	292.97
WBGene00223280	61.16	80.93	74.51	48.7	99.46	60.61	78.6	55.61	50.46	21.93	56.44	91.59	31.76	50.37	70.79	50.16	12.27	52.03	64.63	52.5
WBGene00223281	24.95	36.3	19.49	64.74	33.02	51.28	27.14	14.12	27.92	47.31	50.74	36.6	30.46	18.11	32.58	36.08	26.47	11.51	20.66	8.88
WBGene00223282	44.63	58.33	46.09	48.72	40.49	43.13	36.45	37.92	30.82	11.55	67.56	66.68	23.12	20.63	21.41	30.02	9.28	28.24	27.15	42.03
WBGene00223283	13.86	21.83	33.54	18.51	27.78	21.18	12.45	19.44	14.09	12.5	11.64	16.79	16.31	27.02	26.17	20.69	20.25	29.06	11.85	18.35
WBGene00223285	52.34	53.35	57.41	51.36	59.32	48.86	54.43	60.17	45.85	19.05	33.08	67.9	29.27	24.98	46.97	26	6.64	56.29	59.56	80.19
WBGene00223286	10.88	8.64	26.91	15.39	11.4	31.87	21.86	6.5	17.35	7.92	17.52	15.16	21.03	21.89	16.87	24.91	3.05	11.92	10.7	15.34
WBGene00223287	966	830.64	979.5	769.73	735.44	774.84	919.82	1088.32	1012.36	876.43	802	672	1091.5	1168.44	724.22	864.74	979.35	1003.58	1194.46	898.36
WBGene00223288	17.55	22.95	26.05	38.11	34.68	34.28	29.36	35.95	24.26	6.57	23.26	53.11	17.45	12.11	20.22	18.95	1.69	28.58	22.68	34.78
WBGene00223289	1.4	3.33	2.6	3.39	2.93	2.73	0	2.51	3.72	5.35	2.7	3.9	2.7	0	2.17	0	0	0	0	2.37
